0.2.1.0;0.2.1.0.0;230567 / 241700;0
0.2.1.0.0;0.2.1.0.0.0;-119140 / 119300;1
0.2.1.0.0;0.2.1.0.0.1;-111327 / 122300;1
0.2.1.0.0.0;0.2.1.0.0.0.0;-119140 / 119300;1
0.2.1.0.0.1;0.2.1.0.0.1.0;-111327 / 122300;1
0.2.1.0.0.0.0;0.2.1.0.0.0.0.0;57642 / 57700;0
0.2.1.0.0.0.0;0.2.1.0.0.0.0.1;61398 / 61500;0
0.2.1.0.0.1.0;0.2.1.0.0.1.0.0;53394 / 58100;0
0.2.1.0.0.1.0;0.2.1.0.0.1.0.1;57834 / 64100;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.0;7192 / 7200;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.1;7300 / 7300;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.2;7084 / 7100;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.3;7299 / 7300;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.4;7299 / 7300;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.5;7300 / 7300;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.6;6971 / 7000;0
0.2.1.0.0.0.0.0;0.2.1.0.0.0.0.0.7;7197 / 7200;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.0;7690 / 7700;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.1;7800 / 7800;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.2;7578 / 7600;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.3;7800 / 7800;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.4;7796 / 7800;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.5;7796 / 7800;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.6;7242 / 7300;0
0.2.1.0.0.0.0.1;0.2.1.0.0.0.0.1.7;7696 / 7700;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.0;8247 / 8800;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.1;9847 / 10300;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.2;6244 / 6900;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.3;7187 / 7800;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.4;4569 / 5300;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.5;12973 / 13200;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.6;2071 / 2800;0
0.2.1.0.0.1.0.0;0.2.1.0.0.1.0.0.7;2256 / 3000;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.0;7964 / 8800;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.1;11295 / 12000;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.2;4897 / 5800;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.3;6838 / 7700;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.4;3984 / 4900;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.5;17978 / 18300;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.6;1745 / 2600;0
0.2.1.0.0.1.0.1;0.2.1.0.0.1.0.1.7;3133 / 4000;0
0.2.1.0.0.0.0.0.0;0.2.1.0.0.0.0.0.0.0;1200 / 1200;0
0.2.1.0.0.0.0.0.0;0.2.1.0.0.0.0.0.0.1;1200 / 1200;0
0.2.1.0.0.0.0.0.0;0.2.1.0.0.0.0.0.0.2;1200 / 1200;0
0.2.1.0.0.0.0.0.0;0.2.1.0.0.0.0.0.0.3;1200 / 1200;0
0.2.1.0.0.0.0.0.0;0.2.1.0.0.0.0.0.0.4;1092 / 1100;0
0.2.1.0.0.0.0.0.0;0.2.1.0.0.0.0.0.0.5;1200 / 1200;0
0.2.1.0.0.0.0.0.1;0.2.1.0.0.0.0.0.1.0;2400 / 2400;0
0.2.1.0.0.0.0.0.1;0.2.1.0.0.0.0.0.1.1;2400 / 2400;0
0.2.1.0.0.0.0.0.1;0.2.1.0.0.0.0.0.1.2;2400 / 2400;0
0.2.1.0.0.0.0.0.2;0.2.1.0.0.0.0.0.2.0;1800 / 1800;0
0.2.1.0.0.0.0.0.2;0.2.1.0.0.0.0.0.2.1;1800 / 1800;0
0.2.1.0.0.0.0.0.2;0.2.1.0.0.0.0.0.2.2;1684 / 1700;0
