0.2.2.0.0.0;0.2.2.0.0.0.0;164700 / 164700;0
0.2.2.0.0.0.0;0.2.2.0.0.0.0.0;-16100 / 16100;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.1;-16200 / 16200;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.2;-16100 / 16100;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.3;-16800 / 16800;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.4;-16000 / 16000;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.5;-18900 / 18900;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.6;-17100 / 17100;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.7;-13800 / 13800;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.8;-16300 / 16300;1
0.2.2.0.0.0.0;0.2.2.0.0.0.0.9;-17300 / 17300;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.0;-2100 / 2100;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.1;-2000 / 2000;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.2;-2000 / 2000;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.3;-2000 / 2000;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.4;-2000 / 2000;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.5;-2000 / 2000;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.6;-2000 / 2000;1
0.2.2.0.0.0.0.0;0.2.2.0.0.0.0.0.7;-2000 / 2000;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.0;-2100 / 2100;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.1;-2100 / 2100;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.2;-2000 / 2000;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.3;-2000 / 2000;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.4;-2000 / 2000;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.5;-2000 / 2000;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.6;-2000 / 2000;1
0.2.2.0.0.0.0.1;0.2.2.0.0.0.0.1.7;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.0;-2100 / 2100;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.1;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.2;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.3;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.4;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.5;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.6;-2000 / 2000;1
0.2.2.0.0.0.0.2;0.2.2.0.0.0.0.2.7;-2000 / 2000;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.0;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.1;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.2;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.3;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.4;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.5;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.6;-2100 / 2100;1
0.2.2.0.0.0.0.3;0.2.2.0.0.0.0.3.7;-2100 / 2100;1
0.2.2.0.0.0.0.4;0.2.2.0.0.0.0.4.0;-2000 / 2000;1
