0.2.0.0;0.2.0.0.0;163800 / 163800;0
0.2.0.0.0;0.2.0.0.0.0;-17000 / 17000;1
0.2.0.0.0;0.2.0.0.0.1;-18300 / 18300;1
0.2.0.0.0;0.2.0.0.0.2;-18800 / 18800;1
0.2.0.0.0;0.2.0.0.0.3;-16900 / 16900;1
0.2.0.0.0;0.2.0.0.0.4;-18100 / 18100;1
0.2.0.0.0;0.2.0.0.0.5;-17300 / 17300;1
0.2.0.0.0;0.2.0.0.0.6;-18600 / 18600;1
0.2.0.0.0;0.2.0.0.0.7;-18900 / 18900;1
0.2.0.0.0;0.2.0.0.0.8;-19800 / 19800;1
0.2.0.0.0.0;0.2.0.0.0.0.0;-2900 / 2900;1
0.2.0.0.0.0;0.2.0.0.0.0.1;-2900 / 2900;1
0.2.0.0.0.0;0.2.0.0.0.0.2;-2800 / 2800;1
0.2.0.0.0.0;0.2.0.0.0.0.3;-2800 / 2800;1
0.2.0.0.0.0;0.2.0.0.0.0.4;-2800 / 2800;1
0.2.0.0.0.0;0.2.0.0.0.0.5;-2800 / 2800;1
0.2.0.0.0.1;0.2.0.0.0.1.0;-3100 / 3100;1
0.2.0.0.0.1;0.2.0.0.0.1.1;-3100 / 3100;1
0.2.0.0.0.1;0.2.0.0.0.1.2;-3100 / 3100;1
0.2.0.0.0.1;0.2.0.0.0.1.3;-3000 / 3000;1
0.2.0.0.0.1;0.2.0.0.0.1.4;-3000 / 3000;1
0.2.0.0.0.1;0.2.0.0.0.1.5;-3000 / 3000;1
0.2.0.0.0.2;0.2.0.0.0.2.0;-3200 / 3200;1
0.2.0.0.0.2;0.2.0.0.0.2.1;-3200 / 3200;1
0.2.0.0.0.2;0.2.0.0.0.2.2;-3100 / 3100;1
0.2.0.0.0.2;0.2.0.0.0.2.3;-3100 / 3100;1
0.2.0.0.0.2;0.2.0.0.0.2.4;-3100 / 3100;1
0.2.0.0.0.2;0.2.0.0.0.2.5;-3100 / 3100;1
0.2.0.0.0.3;0.2.0.0.0.3.0;-2900 / 2900;1
0.2.0.0.0.3;0.2.0.0.0.3.1;-2800 / 2800;1
0.2.0.0.0.3;0.2.0.0.0.3.2;-2800 / 2800;1
0.2.0.0.0.3;0.2.0.0.0.3.3;-2800 / 2800;1
0.2.0.0.0.3;0.2.0.0.0.3.4;-2800 / 2800;1
0.2.0.0.0.3;0.2.0.0.0.3.5;-2800 / 2800;1
0.2.0.0.0.4;0.2.0.0.0.4.0;-3100 / 3100;1
0.2.0.0.0.4;0.2.0.0.0.4.1;-3000 / 3000;1
0.2.0.0.0.4;0.2.0.0.0.4.2;-3000 / 3000;1
0.2.0.0.0.4;0.2.0.0.0.4.3;-3000 / 3000;1
0.2.0.0.0.4;0.2.0.0.0.4.4;-3000 / 3000;1
0.2.0.0.0.4;0.2.0.0.0.4.5;-3000 / 3000;1
0.2.0.0.0.5;0.2.0.0.0.5.0;-2900 / 2900;1
0.2.0.0.0.5;0.2.0.0.0.5.1;-2900 / 2900;1
0.2.0.0.0.5;0.2.0.0.0.5.2;-2900 / 2900;1
0.2.0.0.0.5;0.2.0.0.0.5.3;-2900 / 2900;1
0.2.0.0.0.5;0.2.0.0.0.5.4;-2900 / 2900;1
0.2.0.0.0.5;0.2.0.0.0.5.5;-2800 / 2800;1
0.2.0.0.0.6;0.2.0.0.0.6.0;-3100 / 3100;1
0.2.0.0.0.6;0.2.0.0.0.6.1;-3100 / 3100;1
0.2.0.0.0.6;0.2.0.0.0.6.2;-3100 / 3100;1
0.2.0.0.0.6;0.2.0.0.0.6.3;-3100 / 3100;1
0.2.0.0.0.6;0.2.0.0.0.6.4;-3100 / 3100;1
0.2.0.0.0.6;0.2.0.0.0.6.5;-3100 / 3100;1
0.2.0.0.0.7;0.2.0.0.0.7.0;-3200 / 3200;1
0.2.0.0.0.7;0.2.0.0.0.7.1;-3200 / 3200;1
0.2.0.0.0.7;0.2.0.0.0.7.2;-3200 / 3200;1
0.2.0.0.0.7;0.2.0.0.0.7.3;-3100 / 3100;1
0.2.0.0.0.7;0.2.0.0.0.7.4;-3100 / 3100;1
0.2.0.0.0.7;0.2.0.0.0.7.5;-3100 / 3100;1
0.2.0.0.0.8;0.2.0.0.0.8.0;-3300 / 3300;1
0.2.0.0.0.8;0.2.0.0.0.8.1;-3300 / 3300;1
0.2.0.0.0.8;0.2.0.0.0.8.2;-3300 / 3300;1
