0.0.0.0;0.0.0.0.0;164500 / 164500;0
0.0.0.0.0;0.0.0.0.0.0;-30400 / 30400;1
0.0.0.0.0;0.0.0.0.0.1;-26500 / 26500;1
0.0.0.0.0;0.0.0.0.0.2;-26300 / 26300;1
0.0.0.0.0;0.0.0.0.0.3;-28100 / 28100;1
0.0.0.0.0;0.0.0.0.0.4;-28400 / 28400;1
0.0.0.0.0;0.0.0.0.0.5;-24700 / 24700;1
0.0.0.0.0.0;0.0.0.0.0.0.0;-6100 / 6100;1
0.0.0.0.0.0;0.0.0.0.0.0.1;-6100 / 6100;1
0.0.0.0.0.0;0.0.0.0.0.0.2;-6100 / 6100;1
0.0.0.0.0.0;0.0.0.0.0.0.3;-6100 / 6100;1
0.0.0.0.0.0;0.0.0.0.0.0.4;-6000 / 6000;1
0.0.0.0.0.1;0.0.0.0.0.1.0;-5300 / 5300;1
0.0.0.0.0.1;0.0.0.0.0.1.1;-5300 / 5300;1
0.0.0.0.0.1;0.0.0.0.0.1.2;-5300 / 5300;1
0.0.0.0.0.1;0.0.0.0.0.1.3;-5300 / 5300;1
0.0.0.0.0.1;0.0.0.0.0.1.4;-5300 / 5300;1
0.0.0.0.0.2;0.0.0.0.0.2.0;-5300 / 5300;1
0.0.0.0.0.2;0.0.0.0.0.2.1;-5300 / 5300;1
0.0.0.0.0.2;0.0.0.0.0.2.2;-5300 / 5300;1
0.0.0.0.0.2;0.0.0.0.0.2.3;-5200 / 5200;1
0.0.0.0.0.2;0.0.0.0.0.2.4;-5200 / 5200;1
0.0.0.0.0.3;0.0.0.0.0.3.0;-5700 / 5700;1
0.0.0.0.0.3;0.0.0.0.0.3.1;-5600 / 5600;1
0.0.0.0.0.3;0.0.0.0.0.3.2;-5600 / 5600;1
0.0.0.0.0.3;0.0.0.0.0.3.3;-5600 / 5600;1
0.0.0.0.0.3;0.0.0.0.0.3.4;-5600 / 5600;1
0.0.0.0.0.4;0.0.0.0.0.4.0;-5700 / 5700;1
0.0.0.0.0.4;0.0.0.0.0.4.1;-5700 / 5700;1
0.0.0.0.0.4;0.0.0.0.0.4.2;-5700 / 5700;1
0.0.0.0.0.4;0.0.0.0.0.4.3;-5700 / 5700;1
0.0.0.0.0.4;0.0.0.0.0.4.4;-5600 / 5600;1
0.0.0.0.0.5;0.0.0.0.0.5.0;-5000 / 5000;1
0.0.0.0.0.5;0.0.0.0.0.5.1;-5000 / 5000;1
0.0.0.0.0.5;0.0.0.0.0.5.2;-4900 / 4900;1
0.0.0.0.0.5;0.0.0.0.0.5.3;-4900 / 4900;1
0.0.0.0.0.5;0.0.0.0.0.5.4;-4900 / 4900;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-6000 / 6000;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.0;-6000 / 6000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.0;-6000 / 6000;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.0;-6000 / 6000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.0;-5900 / 5900;1
0.0.0.0.0.1.0;0.0.0.0.0.1.0.0;-5200 / 5200;1
0.0.0.0.0.1.1;0.0.0.0.0.1.1.0;-5200 / 5200;1
