0.1.0;0.1.0.0;48381 / 48400;0
0.1.0.0;0.1.0.0.0;48281 / 48300;0
0.1.0.0.0;0.1.0.0.0.0;-10200 / 10200;1
0.1.0.0.0;0.1.0.0.0.1;-9391 / 9400;1
0.1.0.0.0;0.1.0.0.0.2;-9790 / 9800;1
0.1.0.0.0;0.1.0.0.0.3;-9200 / 9200;1
0.1.0.0.0;0.1.0.0.0.4;-9600 / 9600;1
0.1.0.0.0.0;0.1.0.0.0.0.0;-10200 / 10200;1
0.1.0.0.0.1;0.1.0.0.0.1.0;-9391 / 9400;1
0.1.0.0.0.2;0.1.0.0.0.2.0;-9790 / 9800;1
0.1.0.0.0.3;0.1.0.0.0.3.0;-9200 / 9200;1
0.1.0.0.0.4;0.1.0.0.0.4.0;-9600 / 9600;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.0;1800 / 1800;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.1;2300 / 2300;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.2;2000 / 2000;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.3;1600 / 1600;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.4;2400 / 2400;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.0;1500 / 1500;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.1;2000 / 2000;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.2;2195 / 2200;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.3;1499 / 1500;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.4;2100 / 2100;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.0;1600 / 1600;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.1;1900 / 1900;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.2;2193 / 2200;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.3;1900 / 1900;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.4;2099 / 2100;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.0;2100 / 2100;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.1;2200 / 2200;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.2;1500 / 1500;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.3;1000 / 1000;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.4;2300 / 2300;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.0;1900 / 1900;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.1;1900 / 1900;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.2;2100 / 2100;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.3;1400 / 1400;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.4;2200 / 2200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.0;300 / 300;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.1;300 / 300;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.2;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.3;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.4;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.5;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.6;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.7;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.0;300 / 300;0
