0.0.0.0.0;0.0.0.0.0.0;49300 / 49300;0
0.0.0.0.0.0;0.0.0.0.0.0.0;-7200 / 7200;1
0.0.0.0.0.0;0.0.0.0.0.0.1;-5800 / 5800;1
0.0.0.0.0.0;0.0.0.0.0.0.2;-6800 / 6800;1
0.0.0.0.0.0;0.0.0.0.0.0.3;-5700 / 5700;1
0.0.0.0.0.0;0.0.0.0.0.0.4;-6900 / 6900;1
0.0.0.0.0.0;0.0.0.0.0.0.5;-5200 / 5200;1
0.0.0.0.0.0;0.0.0.0.0.0.6;-5800 / 5800;1
0.0.0.0.0.0;0.0.0.0.0.0.7;-5800 / 5800;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-1100 / 1100;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.1;-1100 / 1100;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.2;-1000 / 1000;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.3;-1000 / 1000;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.4;-1000 / 1000;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.5;-1000 / 1000;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.6;-1000 / 1000;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.0;-900 / 900;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.1;-900 / 900;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.2;-800 / 800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.3;-800 / 800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.4;-800 / 800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.5;-800 / 800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.6;-800 / 800;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.0;-1000 / 1000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.1;-1000 / 1000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.2;-1000 / 1000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.3;-1000 / 1000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.4;-1000 / 1000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.5;-900 / 900;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.6;-900 / 900;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.0;-900 / 900;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.1;-800 / 800;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.2;-800 / 800;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.3;-800 / 800;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.4;-800 / 800;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.5;-800 / 800;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.6;-800 / 800;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.0;-1000 / 1000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.1;-1000 / 1000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.2;-1000 / 1000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.3;-1000 / 1000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.4;-1000 / 1000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.5;-1000 / 1000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.6;-900 / 900;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.0;-800 / 800;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.1;-800 / 800;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.2;-800 / 800;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.3;-700 / 700;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.4;-700 / 700;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.5;-700 / 700;1
0.0.0.0.0.0.5;0.0.0.0.0.0.5.6;-700 / 700;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.0;-900 / 900;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.1;-900 / 900;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.2;-800 / 800;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.3;-800 / 800;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.4;-800 / 800;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.5;-800 / 800;1
0.0.0.0.0.0.6;0.0.0.0.0.0.6.6;-800 / 800;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.0;-900 / 900;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.1;-900 / 900;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.2;-800 / 800;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.3;-800 / 800;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.4;-800 / 800;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.5;-800 / 800;1
0.0.0.0.0.0.7;0.0.0.0.0.0.7.6;-800 / 800;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;-1000 / 1000;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.0;-1000 / 1000;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.0;-900 / 900;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.0;-900 / 900;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.0;-900 / 900;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.0;-900 / 900;1
0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.6.0;-900 / 900;1
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.0;-800 / 800;1
0.0.0.0.0.0.1.1;0.0.0.0.0.0.1.1.0;-800 / 800;1
0.0.0.0.0.0.1.2;0.0.0.0.0.0.1.2.0;-700 / 700;1
0.0.0.0.0.0.1.3;0.0.0.0.0.0.1.3.0;-700 / 700;1
0.0.0.0.0.0.1.4;0.0.0.0.0.0.1.4.0;-700 / 700;1
0.0.0.0.0.0.1.5;0.0.0.0.0.0.1.5.0;-700 / 700;1
0.0.0.0.0.0.1.6;0.0.0.0.0.0.1.6.0;-700 / 700;1
