0.2.4.1;0.2.4.1.0;49500 / 49500;0
0.2.4.1.0;0.2.4.1.0.0;-4800 / 4800;1
0.2.4.1.0;0.2.4.1.0.1;-6300 / 6300;1
0.2.4.1.0;0.2.4.1.0.2;-5700 / 5700;1
0.2.4.1.0;0.2.4.1.0.3;-5300 / 5300;1
0.2.4.1.0;0.2.4.1.0.4;-4800 / 4800;1
0.2.4.1.0;0.2.4.1.0.5;-5300 / 5300;1
0.2.4.1.0;0.2.4.1.0.6;-6300 / 6300;1
0.2.4.1.0;0.2.4.1.0.7;-5900 / 5900;1
0.2.4.1.0;0.2.4.1.0.8;-5000 / 5000;1
0.2.4.1.0.0;0.2.4.1.0.0.0;-2400 / 2400;1
0.2.4.1.0.0;0.2.4.1.0.0.1;-2400 / 2400;1
0.2.4.1.0.1;0.2.4.1.0.1.0;-6300 / 6300;1
0.2.4.1.0.2;0.2.4.1.0.2.0;-2900 / 2900;1
0.2.4.1.0.2;0.2.4.1.0.2.1;-2800 / 2800;1
0.2.4.1.0.3;0.2.4.1.0.3.0;-5300 / 5300;1
0.2.4.1.0.4;0.2.4.1.0.4.0;-4800 / 4800;1
0.2.4.1.0.5;0.2.4.1.0.5.0;-5300 / 5300;1
0.2.4.1.0.6;0.2.4.1.0.6.0;-6300 / 6300;1
0.2.4.1.0.7;0.2.4.1.0.7.0;-5900 / 5900;1
0.2.4.1.0.8;0.2.4.1.0.8.0;-5000 / 5000;1
0.2.4.1.0.0.0;0.2.4.1.0.0.0.0;300 / 300;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.1;400 / 400;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.2;200 / 200;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.3;300 / 300;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.4;100 / 100;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.5;200 / 200;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.6;200 / 200;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.7;200 / 200;0
0.2.4.1.0.0.0;0.2.4.1.0.0.0.8;400 / 400;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.0;100 / 100;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.1;500 / 500;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.2;300 / 300;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.3;200 / 200;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.4;200 / 200;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.5;500 / 500;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.7;200 / 200;0
0.2.4.1.0.0.1;0.2.4.1.0.0.1.8;300 / 300;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.0;800 / 800;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.1;900 / 900;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.2;1300 / 1300;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.3;500 / 500;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.4;1000 / 1000;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.5;600 / 600;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.6;400 / 400;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.7;300 / 300;0
0.2.4.1.0.1.0;0.2.4.1.0.1.0.8;400 / 400;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.0;200 / 200;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.1;300 / 300;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.2;400 / 400;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.3;300 / 300;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.4;400 / 400;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.5;300 / 300;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.6;200 / 200;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.7;200 / 200;0
0.2.4.1.0.2.0;0.2.4.1.0.2.0.8;500 / 500;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.0;300 / 300;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.1;300 / 300;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.2;800 / 800;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.3;100 / 100;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.4;200 / 200;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.5;200 / 200;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.7;300 / 300;0
0.2.4.1.0.2.1;0.2.4.1.0.2.1.8;500 / 500;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.0;300 / 300;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.1;500 / 500;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.2;400 / 400;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.3;700 / 700;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.4;900 / 900;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.5;700 / 700;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.6;600 / 600;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.7;500 / 500;0
0.2.4.1.0.3.0;0.2.4.1.0.3.0.8;600 / 600;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.0;500 / 500;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.1;500 / 500;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.2;500 / 500;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.3;700 / 700;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.4;600 / 600;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.5;200 / 200;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.6;400 / 400;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.7;900 / 900;0
0.2.4.1.0.4.0;0.2.4.1.0.4.0.8;400 / 400;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.0;1000 / 1000;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.1;900 / 900;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.2;500 / 500;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.3;400 / 400;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.4;800 / 800;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.5;400 / 400;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.6;400 / 400;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.7;500 / 500;0
0.2.4.1.0.5.0;0.2.4.1.0.5.0.8;300 / 300;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.0;300 / 300;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.1;600 / 600;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.2;900 / 900;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.3;500 / 500;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.4;900 / 900;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.5;400 / 400;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.6;1000 / 1000;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.7;800 / 800;0
0.2.4.1.0.6.0;0.2.4.1.0.6.0.8;800 / 800;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.0;800 / 800;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.1;800 / 800;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.2;300 / 300;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.3;400 / 400;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.4;900 / 900;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.5;700 / 700;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.6;500 / 500;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.7;800 / 800;0
0.2.4.1.0.7.0;0.2.4.1.0.7.0.8;600 / 600;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.0;500 / 500;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.1;500 / 500;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.2;800 / 800;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.3;700 / 700;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.4;600 / 600;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.5;700 / 700;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.6;100 / 100;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.7;500 / 500;0
0.2.4.1.0.8.0;0.2.4.1.0.8.0.8;500 / 500;0
0.2.4.1.0.0.0.0;0.2.4.1.0.0.0.0.0;100 / 100;0
0.2.4.1.0.0.0.0;0.2.4.1.0.0.0.0.1;100 / 100;0
0.2.4.1.0.0.0.0;0.2.4.1.0.0.0.0.2;100 / 100;0
0.2.4.1.0.0.0.1;0.2.4.1.0.0.0.1.0;100 / 100;0
0.2.4.1.0.0.0.1;0.2.4.1.0.0.0.1.1;100 / 100;0
0.2.4.1.0.0.0.1;0.2.4.1.0.0.0.1.2;100 / 100;0
0.2.4.1.0.0.0.1;0.2.4.1.0.0.0.1.3;100 / 100;0
0.2.4.1.0.0.0.2;0.2.4.1.0.0.0.2.0;100 / 100;0
0.2.4.1.0.0.0.2;0.2.4.1.0.0.0.2.1;100 / 100;0
0.2.4.1.0.0.0.3;0.2.4.1.0.0.0.3.0;100 / 100;0
