0.1.3;0.1.3.0;39099 / 39100;0
0.1.3.0;0.1.3.0.0;38999 / 39000;0
0.1.3.0.0;0.1.3.0.0.0;-4099 / 4100;1
0.1.3.0.0;0.1.3.0.0.1;-3800 / 3800;1
0.1.3.0.0;0.1.3.0.0.2;-3800 / 3800;1
0.1.3.0.0;0.1.3.0.0.3;-4800 / 4800;1
0.1.3.0.0;0.1.3.0.0.4;-4300 / 4300;1
0.1.3.0.0;0.1.3.0.0.5;-4700 / 4700;1
0.1.3.0.0;0.1.3.0.0.6;-4200 / 4200;1
0.1.3.0.0;0.1.3.0.0.7;-4100 / 4100;1
0.1.3.0.0;0.1.3.0.0.8;-5100 / 5100;1
0.1.3.0.0.0;0.1.3.0.0.0.0;-4099 / 4100;1
0.1.3.0.0.1;0.1.3.0.0.1.0;-3800 / 3800;1
0.1.3.0.0.2;0.1.3.0.0.2.0;-3800 / 3800;1
0.1.3.0.0.3;0.1.3.0.0.3.0;-2400 / 2400;1
0.1.3.0.0.3;0.1.3.0.0.3.1;-2400 / 2400;1
0.1.3.0.0.4;0.1.3.0.0.4.0;-4300 / 4300;1
0.1.3.0.0.5;0.1.3.0.0.5.0;-4700 / 4700;1
0.1.3.0.0.6;0.1.3.0.0.6.0;-4200 / 4200;1
0.1.3.0.0.7;0.1.3.0.0.7.0;-2100 / 2100;1
0.1.3.0.0.7;0.1.3.0.0.7.1;-2000 / 2000;1
0.1.3.0.0.8;0.1.3.0.0.8.0;-5100 / 5100;1
0.1.3.0.0.0.0;0.1.3.0.0.0.0.0;400 / 400;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.1;600 / 600;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.2;500 / 500;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.3;400 / 400;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.4;700 / 700;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.5;400 / 400;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.6;300 / 300;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.7;400 / 400;0
0.1.3.0.0.0.0;0.1.3.0.0.0.0.8;300 / 300;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.0;700 / 700;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.1;400 / 400;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.2;400 / 400;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.3;300 / 300;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.4;200 / 200;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.5;600 / 600;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.6;300 / 300;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.7;300 / 300;0
0.1.3.0.0.1.0;0.1.3.0.0.1.0.8;500 / 500;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.0;200 / 200;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.1;200 / 200;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.2;400 / 400;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.3;400 / 400;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.4;400 / 400;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.5;300 / 300;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.6;600 / 600;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.7;800 / 800;0
0.1.3.0.0.2.0;0.1.3.0.0.2.0.8;400 / 400;0
0.1.3.0.0.3.0;0.1.3.0.0.3.0.0;200 / 200;0
0.1.3.0.0.3.0;0.1.3.0.0.3.0.1;600 / 600;0
