0.2.1.1.0;0.2.1.1.0.0;77775 / 77800;0
0.2.1.1.0.0;0.2.1.1.0.0.0;-7500 / 7500;1
0.2.1.1.0.0;0.2.1.1.0.0.1;-8400 / 8400;1
0.2.1.1.0.0;0.2.1.1.0.0.2;-8500 / 8500;1
0.2.1.1.0.0;0.2.1.1.0.0.3;-8900 / 8900;1
0.2.1.1.0.0;0.2.1.1.0.0.4;-8500 / 8500;1
0.2.1.1.0.0;0.2.1.1.0.0.5;-9579 / 9600;1
0.2.1.1.0.0;0.2.1.1.0.0.6;-8296 / 8300;1
0.2.1.1.0.0;0.2.1.1.0.0.7;-8700 / 8700;1
0.2.1.1.0.0;0.2.1.1.0.0.8;-9300 / 9300;1
0.2.1.1.0.0.0;0.2.1.1.0.0.0.0;-3800 / 3800;1
0.2.1.1.0.0.0;0.2.1.1.0.0.0.1;-3700 / 3700;1
0.2.1.1.0.0.1;0.2.1.1.0.0.1.0;-4200 / 4200;1
0.2.1.1.0.0.1;0.2.1.1.0.0.1.1;-4200 / 4200;1
0.2.1.1.0.0.2;0.2.1.1.0.0.2.0;-4300 / 4300;1
0.2.1.1.0.0.2;0.2.1.1.0.0.2.1;-4200 / 4200;1
0.2.1.1.0.0.3;0.2.1.1.0.0.3.0;-4500 / 4500;1
0.2.1.1.0.0.3;0.2.1.1.0.0.3.1;-4400 / 4400;1
0.2.1.1.0.0.4;0.2.1.1.0.0.4.0;-4300 / 4300;1
0.2.1.1.0.0.4;0.2.1.1.0.0.4.1;-4200 / 4200;1
0.2.1.1.0.0.5;0.2.1.1.0.0.5.0;-9579 / 9600;1
0.2.1.1.0.0.6;0.2.1.1.0.0.6.0;-4198 / 4200;1
0.2.1.1.0.0.6;0.2.1.1.0.0.6.1;-4098 / 4100;1
0.2.1.1.0.0.7;0.2.1.1.0.0.7.0;-2900 / 2900;1
0.2.1.1.0.0.7;0.2.1.1.0.0.7.1;-2900 / 2900;1
0.2.1.1.0.0.7;0.2.1.1.0.0.7.2;-2900 / 2900;1
0.2.1.1.0.0.8;0.2.1.1.0.0.8.0;-4700 / 4700;1
0.2.1.1.0.0.8;0.2.1.1.0.0.8.1;-4600 / 4600;1
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.0;300 / 300;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.1;300 / 300;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.3;400 / 400;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.4;600 / 600;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.5;900 / 900;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.6;100 / 100;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.7;400 / 400;0
0.2.1.1.0.0.0.0;0.2.1.1.0.0.0.0.8;700 / 700;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.0;300 / 300;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.1;300 / 300;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.2;300 / 300;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.3;600 / 600;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.4;600 / 600;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.5;200 / 200;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.6;600 / 600;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.7;600 / 600;0
0.2.1.1.0.0.0.1;0.2.1.1.0.0.0.1.8;100 / 100;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.0;300 / 300;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.1;500 / 500;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.2;800 / 800;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.3;700 / 700;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.4;400 / 400;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.5;500 / 500;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.6;200 / 200;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.7;500 / 500;0
0.2.1.1.0.0.1.0;0.2.1.1.0.0.1.0.8;200 / 200;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.0;100 / 100;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.1;800 / 800;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.2;1100 / 1100;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.3;400 / 400;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.4;200 / 200;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.5;600 / 600;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.6;300 / 300;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.7;200 / 200;0
0.2.1.1.0.0.1.1;0.2.1.1.0.0.1.1.8;400 / 400;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.0;900 / 900;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.1;600 / 600;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.2;400 / 400;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.3;600 / 600;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.4;600 / 600;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.5;100 / 100;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.6;500 / 500;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.7;100 / 100;0
0.2.1.1.0.0.2.0;0.2.1.1.0.0.2.0.8;400 / 400;0
0.2.1.1.0.0.2.1;0.2.1.1.0.0.2.1.0;400 / 400;0
0.2.1.1.0.0.2.1;0.2.1.1.0.0.2.1.1;500 / 500;0
0.2.1.1.0.0.2.1;0.2.1.1.0.0.2.1.2;700 / 700;0
0.2.1.1.0.0.2.1;0.2.1.1.0.0.2.1.3;300 / 300;0
0.2.1.1.0.0.2.1;0.2.1.1.0.0.2.1.4;600 / 600;0
