0.0.0.0.0;0.0.0.0.0.0;164700 / 164700;0
0.0.0.0.0.0;0.0.0.0.0.0.0;-55800 / 55800;1
0.0.0.0.0.0;0.0.0.0.0.0.1;-55600 / 55600;1
0.0.0.0.0.0;0.0.0.0.0.0.2;-53200 / 53200;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-9300 / 9300;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.1;-9300 / 9300;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.2;-9300 / 9300;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.3;-9300 / 9300;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.4;-9300 / 9300;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.5;-9300 / 9300;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.0;-9300 / 9300;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.1;-9300 / 9300;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.2;-9300 / 9300;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.3;-9300 / 9300;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.4;-9200 / 9200;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.5;-9200 / 9200;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.0;-8900 / 8900;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.1;-8900 / 8900;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.2;-8900 / 8900;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.3;-8900 / 8900;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.4;-8800 / 8800;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.5;-8800 / 8800;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;-9200 / 9200;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.0;-9200 / 9200;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.0;-9200 / 9200;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.0;-9200 / 9200;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.0;-9200 / 9200;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.0;-9200 / 9200;1
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.0;-9200 / 9200;1
0.0.0.0.0.0.1.1;0.0.0.0.0.0.1.1.0;-9200 / 9200;1
0.0.0.0.0.0.1.2;0.0.0.0.0.0.1.2.0;-9200 / 9200;1
0.0.0.0.0.0.1.3;0.0.0.0.0.0.1.3.0;-9200 / 9200;1
0.0.0.0.0.0.1.4;0.0.0.0.0.0.1.4.0;-9100 / 9100;1
0.0.0.0.0.0.1.5;0.0.0.0.0.0.1.5.0;-9100 / 9100;1
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.0;-8800 / 8800;1
0.0.0.0.0.0.2.1;0.0.0.0.0.0.2.1.0;-8800 / 8800;1
0.0.0.0.0.0.2.2;0.0.0.0.0.0.2.2.0;-8800 / 8800;1
