0.2.1.3.0;0.2.1.3.0.0;157800 / 157800;0
0.2.1.3.0.0;0.2.1.3.0.0.0;157700 / 157700;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.0;-17200 / 17200;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.1;-20800 / 20800;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.2;-21900 / 21900;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.3;-18800 / 18800;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.4;-20500 / 20500;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.5;-18100 / 18100;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.6;-19400 / 19400;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.7;-20900 / 20900;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.0;-3500 / 3500;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.1;-3500 / 3500;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.2;-3400 / 3400;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.3;-3400 / 3400;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.4;-3400 / 3400;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.0;-4200 / 4200;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.1;-4200 / 4200;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.2;-4200 / 4200;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.3;-4100 / 4100;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.4;-4100 / 4100;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.0;-4400 / 4400;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.1;-4400 / 4400;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.2;-4400 / 4400;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.3;-4400 / 4400;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.4;-4300 / 4300;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.0;-3800 / 3800;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.1;-3800 / 3800;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.2;-3800 / 3800;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.3;-3700 / 3700;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.4;-3700 / 3700;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.0;-4100 / 4100;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.1;-4100 / 4100;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.2;-4100 / 4100;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.3;-4100 / 4100;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.4;-4100 / 4100;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.0;-3700 / 3700;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.1;-3600 / 3600;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.2;-3600 / 3600;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.3;-3600 / 3600;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.4;-3600 / 3600;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.0;-3900 / 3900;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.1;-3900 / 3900;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.2;-3900 / 3900;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.3;-3900 / 3900;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.4;-3800 / 3800;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.0;-4200 / 4200;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.1;-4200 / 4200;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.2;-4200 / 4200;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.3;-4200 / 4200;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.4;-4100 / 4100;1
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.0;600 / 600;0
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.1;300 / 300;0
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.2;800 / 800;0
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.3;300 / 300;0
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.4;300 / 300;0
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.5;700 / 700;0
0.2.1.3.0.0.0.0.0;0.2.1.3.0.0.0.0.0.7;400 / 400;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.0;600 / 600;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.1;500 / 500;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.2;300 / 300;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.3;400 / 400;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.4;300 / 300;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.5;200 / 200;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.6;800 / 800;0
0.2.1.3.0.0.0.0.1;0.2.1.3.0.0.0.0.1.7;300 / 300;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.0;200 / 200;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.1;1100 / 1100;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.2;100 / 100;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.3;100 / 100;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.4;400 / 400;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.5;500 / 500;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.6;400 / 400;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.7;500 / 500;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.0;500 / 500;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.1;400 / 400;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.2;300 / 300;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.3;400 / 400;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.4;400 / 400;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.5;300 / 300;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.6;400 / 400;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.7;600 / 600;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.0;100 / 100;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.1;400 / 400;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.2;700 / 700;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.3;300 / 300;0
