0.1.1.0.0;0.1.1.0.0.0;169679 / 169700;0
0.1.1.0.0.0;0.1.1.0.0.0.0;169579 / 169600;0
0.1.1.0.0.0.0;0.1.1.0.0.0.0.0;-14100 / 14100;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.1;-14400 / 14400;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.2;-14000 / 14000;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.3;-16800 / 16800;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.4;-16600 / 16600;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.5;-16289 / 16300;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.6;-16500 / 16500;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.7;-13900 / 13900;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.8;-15190 / 15200;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.9;-16100 / 16100;1
0.1.1.0.0.0.0;0.1.1.0.0.0.0.10;-15600 / 15600;1
0.1.1.0.0.0.0.0;0.1.1.0.0.0.0.0.0;-3600 / 3600;1
0.1.1.0.0.0.0.0;0.1.1.0.0.0.0.0.1;-3500 / 3500;1
0.1.1.0.0.0.0.0;0.1.1.0.0.0.0.0.2;-3500 / 3500;1
0.1.1.0.0.0.0.0;0.1.1.0.0.0.0.0.3;-3500 / 3500;1
0.1.1.0.0.0.0.1;0.1.1.0.0.0.0.1.0;-14400 / 14400;1
0.1.1.0.0.0.0.2;0.1.1.0.0.0.0.2.0;-14000 / 14000;1
0.1.1.0.0.0.0.3;0.1.1.0.0.0.0.3.0;-5600 / 5600;1
0.1.1.0.0.0.0.3;0.1.1.0.0.0.0.3.1;-5600 / 5600;1
0.1.1.0.0.0.0.3;0.1.1.0.0.0.0.3.2;-5600 / 5600;1
0.1.1.0.0.0.0.4;0.1.1.0.0.0.0.4.0;-4200 / 4200;1
0.1.1.0.0.0.0.4;0.1.1.0.0.0.0.4.1;-4200 / 4200;1
0.1.1.0.0.0.0.4;0.1.1.0.0.0.0.4.2;-4100 / 4100;1
0.1.1.0.0.0.0.4;0.1.1.0.0.0.0.4.3;-4100 / 4100;1
0.1.1.0.0.0.0.5;0.1.1.0.0.0.0.5.0;-4100 / 4100;1
0.1.1.0.0.0.0.5;0.1.1.0.0.0.0.5.1;-4100 / 4100;1
0.1.1.0.0.0.0.5;0.1.1.0.0.0.0.5.2;-4000 / 4000;1
0.1.1.0.0.0.0.5;0.1.1.0.0.0.0.5.3;-4089 / 4100;1
0.1.1.0.0.0.0.6;0.1.1.0.0.0.0.6.0;-4200 / 4200;1
0.1.1.0.0.0.0.6;0.1.1.0.0.0.0.6.1;-4100 / 4100;1
0.1.1.0.0.0.0.6;0.1.1.0.0.0.0.6.2;-4100 / 4100;1
0.1.1.0.0.0.0.6;0.1.1.0.0.0.0.6.3;-4100 / 4100;1
0.1.1.0.0.0.0.7;0.1.1.0.0.0.0.7.0;-4700 / 4700;1
0.1.1.0.0.0.0.7;0.1.1.0.0.0.0.7.1;-4600 / 4600;1
0.1.1.0.0.0.0.7;0.1.1.0.0.0.0.7.2;-4600 / 4600;1
0.1.1.0.0.0.0.8;0.1.1.0.0.0.0.8.0;-3800 / 3800;1
0.1.1.0.0.0.0.8;0.1.1.0.0.0.0.8.1;-3800 / 3800;1
0.1.1.0.0.0.0.8;0.1.1.0.0.0.0.8.2;-3800 / 3800;1
0.1.1.0.0.0.0.8;0.1.1.0.0.0.0.8.3;-3790 / 3800;1
0.1.1.0.0.0.0.9;0.1.1.0.0.0.0.9.0;-4100 / 4100;1
0.1.1.0.0.0.0.9;0.1.1.0.0.0.0.9.1;-4000 / 4000;1
0.1.1.0.0.0.0.9;0.1.1.0.0.0.0.9.2;-4000 / 4000;1
0.1.1.0.0.0.0.9;0.1.1.0.0.0.0.9.3;-4000 / 4000;1
0.1.1.0.0.0.0.10;0.1.1.0.0.0.0.10.0;-3900 / 3900;1
0.1.1.0.0.0.0.10;0.1.1.0.0.0.0.10.1;-3900 / 3900;1
0.1.1.0.0.0.0.10;0.1.1.0.0.0.0.10.2;-3900 / 3900;1
0.1.1.0.0.0.0.10;0.1.1.0.0.0.0.10.3;-3900 / 3900;1
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.0;300 / 300;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.1;200 / 200;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.2;300 / 300;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.3;300 / 300;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.4;300 / 300;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.5;400 / 400;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.6;100 / 100;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.7;300 / 300;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.8;500 / 500;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.9;300 / 300;0
0.1.1.0.0.0.0.0.0;0.1.1.0.0.0.0.0.0.10;500 / 500;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.0;200 / 200;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.1;100 / 100;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.2;300 / 300;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.3;300 / 300;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.4;400 / 400;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.5;300 / 300;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.6;300 / 300;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.7;300 / 300;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.8;100 / 100;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.9;500 / 500;0
0.1.1.0.0.0.0.0.1;0.1.1.0.0.0.0.0.1.10;600 / 600;0
0.1.1.0.0.0.0.0.2;0.1.1.0.0.0.0.0.2.0;100 / 100;0
0.1.1.0.0.0.0.0.2;0.1.1.0.0.0.0.0.2.1;200 / 200;0
0.1.1.0.0.0.0.0.2;0.1.1.0.0.0.0.0.2.2;100 / 100;0
0.1.1.0.0.0.0.0.2;0.1.1.0.0.0.0.0.2.3;700 / 700;0
