0.0.0.0.0.0;0.0.0.0.0.0.0;41800 / 41800;0
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-5800 / 5800;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.1;-4600 / 4600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.2;-6600 / 6600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.3;-5700 / 5700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.4;-5800 / 5800;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.5;-6000 / 6000;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.6;-7200 / 7200;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;-500 / 500;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.1;-500 / 500;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.2;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.3;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.4;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.5;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.6;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.7;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.8;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.9;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.10;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.11;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.12;-400 / 400;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.13;-400 / 400;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.0;-400 / 400;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.1;-400 / 400;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.2;-400 / 400;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.3;-400 / 400;1
