0.1;0.1.0;52760 / 53800;0
0.1.0;0.1.0.0;-5071 / 5100;1
0.1.0;0.1.0.1;-4148 / 4200;1
0.1.0;0.1.0.2;-3780 / 3800;1
0.1.0;0.1.0.3;-3971 / 4000;1
0.1.0;0.1.0.4;-4279 / 4400;1
0.1.0;0.1.0.5;-4005 / 4100;1
0.1.0;0.1.0.6;-4160 / 4300;1
0.1.0;0.1.0.7;-4066 / 4100;1
0.1.0;0.1.0.8;-4736 / 4800;1
0.1.0;0.1.0.9;-3289 / 3400;1
0.1.0;0.1.0.10;-3805 / 3900;1
0.1.0;0.1.0.11;-3492 / 3600;1
0.1.0;0.1.0.12;-3861 / 4000;1
0.1.0.0;0.1.0.0.0;-998 / 1000;1
0.1.0.0;0.1.0.0.1;-1074 / 1100;1
0.1.0.0;0.1.0.0.2;-999 / 1000;1
0.1.0.0;0.1.0.0.3;-1000 / 1000;1
0.1.0.0;0.1.0.0.4;-1000 / 1000;1
0.1.0.1;0.1.0.1.0;-798 / 800;1
0.1.0.1;0.1.0.1.1;-871 / 900;1
0.1.0.1;0.1.0.1.2;-800 / 800;1
0.1.0.1;0.1.0.1.3;-799 / 800;1
0.1.0.1;0.1.0.1.4;-880 / 900;1
0.1.0.2;0.1.0.2.0;-1292 / 1300;1
0.1.0.2;0.1.0.2.1;-1293 / 1300;1
0.1.0.2;0.1.0.2.2;-1195 / 1200;1
0.1.0.3;0.1.0.3.0;-799 / 800;1
0.1.0.3;0.1.0.3.1;-774 / 800;1
0.1.0.3;0.1.0.3.2;-800 / 800;1
0.1.0.3;0.1.0.3.3;-800 / 800;1
0.1.0.3;0.1.0.3.4;-798 / 800;1
0.1.0.4;0.1.0.4.0;-1456 / 1500;1
0.1.0.4;0.1.0.4.1;-1440 / 1500;1
0.1.0.4;0.1.0.4.2;-1383 / 1400;1
0.1.0.5;0.1.0.5.0;-792 / 800;1
0.1.0.5;0.1.0.5.1;-839 / 900;1
0.1.0.5;0.1.0.5.2;-794 / 800;1
0.1.0.5;0.1.0.5.3;-799 / 800;1
0.1.0.5;0.1.0.5.4;-781 / 800;1
0.1.0.6;0.1.0.6.0;-794 / 800;1
0.1.0.6;0.1.0.6.1;-975 / 1100;1
0.1.0.6;0.1.0.6.2;-791 / 800;1
0.1.0.6;0.1.0.6.3;-800 / 800;1
0.1.0.6;0.1.0.6.4;-800 / 800;1
0.1.0.7;0.1.0.7.0;-999 / 1000;1
0.1.0.7;0.1.0.7.1;-1068 / 1100;1
0.1.0.7;0.1.0.7.2;-999 / 1000;1
0.1.0.7;0.1.0.7.3;-1000 / 1000;1
0.1.0.8;0.1.0.8.0;-998 / 1000;1
0.1.0.8;0.1.0.8.1;-1041 / 1100;1
0.1.0.8;0.1.0.8.2;-899 / 900;1
0.1.0.8;0.1.0.8.3;-899 / 900;1
0.1.0.8;0.1.0.8.4;-899 / 900;1
0.1.0.9;0.1.0.9.0;-689 / 700;1
0.1.0.9;0.1.0.9.1;-658 / 700;1
0.1.0.9;0.1.0.9.2;-597 / 600;1
0.1.0.9;0.1.0.9.3;-600 / 600;1
0.1.0.9;0.1.0.9.4;-745 / 800;1
0.1.0.10;0.1.0.10.0;-698 / 700;1
0.1.0.10;0.1.0.10.1;-910 / 1000;1
0.1.0.10;0.1.0.10.2;-797 / 800;1
0.1.0.10;0.1.0.10.3;-700 / 700;1
0.1.0.10;0.1.0.10.4;-700 / 700;1
0.1.0.11;0.1.0.11.0;-1146 / 1200;1
0.1.0.11;0.1.0.11.1;-1170 / 1200;1
0.1.0.11;0.1.0.11.2;-1176 / 1200;1
0.1.0.12;0.1.0.12.0;-793 / 800;1
0.1.0.12;0.1.0.12.1;-876 / 1000;1
0.1.0.12;0.1.0.12.2;-698 / 700;1
0.1.0.12;0.1.0.12.3;-794 / 800;1
0.1.0.12;0.1.0.12.4;-700 / 700;1
0.1.0.0.0;0.1.0.0.0.0;100 / 100;0
0.1.0.0.0;0.1.0.0.0.2;100 / 100;0
0.1.0.0.0;0.1.0.0.0.6;100 / 100;0
0.1.0.0.0;0.1.0.0.0.7;100 / 100;0
0.1.0.0.0;0.1.0.0.0.8;100 / 100;0
0.1.0.0.0;0.1.0.0.0.9;100 / 100;0
0.1.0.0.0;0.1.0.0.0.10;100 / 100;0
0.1.0.0.0;0.1.0.0.0.11;99 / 100;0
0.1.0.0.0;0.1.0.0.0.12;100 / 100;0
0.1.0.0.1;0.1.0.0.1.1;95 / 100;0
0.1.0.0.1;0.1.0.0.1.2;194 / 200;0
0.1.0.0.1;0.1.0.0.1.3;200 / 200;0
0.1.0.0.1;0.1.0.0.1.7;98 / 100;0
0.1.0.0.1;0.1.0.0.1.8;96 / 100;0
0.1.0.0.1;0.1.0.0.1.9;196 / 200;0
0.1.0.0.1;0.1.0.0.1.12;98 / 100;0
0.1.0.0.2;0.1.0.0.2.0;200 / 200;0
0.1.0.0.2;0.1.0.0.2.2;100 / 100;0
0.1.0.0.2;0.1.0.0.2.5;100 / 100;0
0.1.0.0.2;0.1.0.0.2.10;300 / 300;0
0.1.0.0.2;0.1.0.0.2.11;200 / 200;0
0.1.0.0.3;0.1.0.0.3.0;100 / 100;0
0.1.0.0.3;0.1.0.0.3.1;100 / 100;0
0.1.0.0.3;0.1.0.0.3.3;100 / 100;0
0.1.0.0.3;0.1.0.0.3.5;100 / 100;0
0.1.0.0.3;0.1.0.0.3.7;300 / 300;0
0.1.0.0.3;0.1.0.0.3.8;100 / 100;0
0.1.0.0.3;0.1.0.0.3.11;100 / 100;0
0.1.0.0.4;0.1.0.0.4.1;100 / 100;0
0.1.0.0.4;0.1.0.0.4.6;100 / 100;0
0.1.0.0.4;0.1.0.0.4.7;100 / 100;0
0.1.0.0.4;0.1.0.0.4.9;300 / 300;0
0.1.0.0.4;0.1.0.0.4.10;100 / 100;0
0.1.0.0.4;0.1.0.0.4.11;100 / 100;0
0.1.0.0.4;0.1.0.0.4.12;100 / 100;0
0.1.0.1.0;0.1.0.1.0.3;100 / 100;0
0.1.0.1.0;0.1.0.1.0.4;100 / 100;0
0.1.0.1.0;0.1.0.1.0.6;100 / 100;0
0.1.0.1.0;0.1.0.1.0.8;400 / 400;0
0.1.0.1.1;0.1.0.1.1.2;99 / 100;0
0.1.0.1.1;0.1.0.1.1.4;97 / 100;0
0.1.0.1.1;0.1.0.1.1.6;292 / 300;0
0.1.0.1.1;0.1.0.1.1.9;197 / 200;0
0.1.0.1.1;0.1.0.1.1.10;99 / 100;0
0.1.0.1.2;0.1.0.1.2.1;300 / 300;0
0.1.0.1.2;0.1.0.1.2.2;100 / 100;0
0.1.0.1.2;0.1.0.1.2.4;100 / 100;0
0.1.0.1.2;0.1.0.1.2.6;200 / 200;0
0.1.0.1.3;0.1.0.1.3.1;100 / 100;0
0.1.0.1.3;0.1.0.1.3.2;100 / 100;0
0.1.0.1.3;0.1.0.1.3.3;100 / 100;0
0.1.0.1.3;0.1.0.1.3.5;100 / 100;0
0.1.0.1.3;0.1.0.1.3.8;100 / 100;0
0.1.0.1.3;0.1.0.1.3.9;100 / 100;0
0.1.0.1.3;0.1.0.1.3.11;100 / 100;0
0.1.0.1.4;0.1.0.1.4.0;95 / 100;0
0.1.0.1.4;0.1.0.1.4.1;98 / 100;0
0.1.0.1.4;0.1.0.1.4.3;97 / 100;0
0.1.0.1.4;0.1.0.1.4.4;99 / 100;0
0.1.0.1.4;0.1.0.1.4.5;99 / 100;0
0.1.0.1.4;0.1.0.1.4.6;100 / 100;0
0.1.0.1.4;0.1.0.1.4.10;98 / 100;0
0.1.0.1.4;0.1.0.1.4.11;100 / 100;0
0.1.0.2.0;0.1.0.2.0.0;98 / 100;0
0.1.0.2.0;0.1.0.2.0.2;100 / 100;0
0.1.0.2.0;0.1.0.2.0.3;99 / 100;0
0.1.0.2.0;0.1.0.2.0.5;300 / 300;0
0.1.0.2.0;0.1.0.2.0.8;99 / 100;0
0.1.0.2.0;0.1.0.2.0.9;100 / 100;0
0.1.0.2.0;0.1.0.2.0.10;100 / 100;0
0.1.0.2.0;0.1.0.2.0.11;199 / 200;0
0.1.0.2.0;0.1.0.2.0.12;100 / 100;0
0.1.0.2.1;0.1.0.2.1.2;100 / 100;0
0.1.0.2.1;0.1.0.2.1.3;197 / 200;0
0.1.0.2.1;0.1.0.2.1.5;100 / 100;0
0.1.0.2.1;0.1.0.2.1.7;199 / 200;0
0.1.0.2.1;0.1.0.2.1.8;99 / 100;0
0.1.0.2.1;0.1.0.2.1.11;199 / 200;0
0.1.0.2.1;0.1.0.2.1.12;300 / 300;0
0.1.0.2.2;0.1.0.2.2.0;100 / 100;0
0.1.0.2.2;0.1.0.2.2.3;100 / 100;0
0.1.0.2.2;0.1.0.2.2.4;300 / 300;0
0.1.0.2.2;0.1.0.2.2.5;100 / 100;0
0.1.0.2.2;0.1.0.2.2.8;97 / 100;0
0.1.0.2.2;0.1.0.2.2.9;200 / 200;0
0.1.0.2.2;0.1.0.2.2.10;100 / 100;0
0.1.0.2.2;0.1.0.2.2.12;100 / 100;0
0.1.0.3.0;0.1.0.3.0.1;100 / 100;0
0.1.0.3.0;0.1.0.3.0.5;100 / 100;0
0.1.0.3.0;0.1.0.3.0.7;100 / 100;0
