0.4.2.1.0;0.4.2.1.0.0;228300 / 228300;0
0.4.2.1.0.0;0.4.2.1.0.0.0;-32900 / 32900;1
0.4.2.1.0.0;0.4.2.1.0.0.1;-33700 / 33700;1
0.4.2.1.0.0;0.4.2.1.0.0.2;-29700 / 29700;1
0.4.2.1.0.0;0.4.2.1.0.0.3;-30700 / 30700;1
0.4.2.1.0.0;0.4.2.1.0.0.4;-32100 / 32100;1
0.4.2.1.0.0;0.4.2.1.0.0.5;-36900 / 36900;1
0.4.2.1.0.0;0.4.2.1.0.0.6;-32200 / 32200;1
0.4.2.1.0.0.0;0.4.2.1.0.0.0.0;-11000 / 11000;1
0.4.2.1.0.0.0;0.4.2.1.0.0.0.1;-11000 / 11000;1
0.4.2.1.0.0.0;0.4.2.1.0.0.0.2;-10900 / 10900;1
0.4.2.1.0.0.1;0.4.2.1.0.0.1.0;-11300 / 11300;1
0.4.2.1.0.0.1;0.4.2.1.0.0.1.1;-11200 / 11200;1
0.4.2.1.0.0.1;0.4.2.1.0.0.1.2;-11200 / 11200;1
0.4.2.1.0.0.2;0.4.2.1.0.0.2.0;-9900 / 9900;1
0.4.2.1.0.0.2;0.4.2.1.0.0.2.1;-9900 / 9900;1
0.4.2.1.0.0.2;0.4.2.1.0.0.2.2;-9900 / 9900;1
0.4.2.1.0.0.3;0.4.2.1.0.0.3.0;-10300 / 10300;1
0.4.2.1.0.0.3;0.4.2.1.0.0.3.1;-10200 / 10200;1
0.4.2.1.0.0.3;0.4.2.1.0.0.3.2;-10200 / 10200;1
0.4.2.1.0.0.4;0.4.2.1.0.0.4.0;-10700 / 10700;1
0.4.2.1.0.0.4;0.4.2.1.0.0.4.1;-10700 / 10700;1
0.4.2.1.0.0.4;0.4.2.1.0.0.4.2;-10700 / 10700;1
0.4.2.1.0.0.5;0.4.2.1.0.0.5.0;-12300 / 12300;1
0.4.2.1.0.0.5;0.4.2.1.0.0.5.1;-12300 / 12300;1
0.4.2.1.0.0.5;0.4.2.1.0.0.5.2;-12300 / 12300;1
0.4.2.1.0.0.6;0.4.2.1.0.0.6.0;-10800 / 10800;1
0.4.2.1.0.0.6;0.4.2.1.0.0.6.1;-10700 / 10700;1
0.4.2.1.0.0.6;0.4.2.1.0.0.6.2;-10700 / 10700;1
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.0;1600 / 1600;0
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.1;1500 / 1500;0
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.2;1200 / 1200;0
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.3;1600 / 1600;0
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.4;1800 / 1800;0
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.5;1300 / 1300;0
0.4.2.1.0.0.0.0;0.4.2.1.0.0.0.0.6;1900 / 1900;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.0;1400 / 1400;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.1;1900 / 1900;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.2;2100 / 2100;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.3;1400 / 1400;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.4;1600 / 1600;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.5;700 / 700;0
0.4.2.1.0.0.0.1;0.4.2.1.0.0.0.1.6;1800 / 1800;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.0;900 / 900;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.1;1400 / 1400;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.2;1300 / 1300;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.3;1700 / 1700;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.4;1500 / 1500;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.5;1600 / 1600;0
0.4.2.1.0.0.0.2;0.4.2.1.0.0.0.2.6;2400 / 2400;0
0.4.2.1.0.0.1.0;0.4.2.1.0.0.1.0.0;1300 / 1300;0
0.4.2.1.0.0.1.0;0.4.2.1.0.0.1.0.1;2000 / 2000;0
0.4.2.1.0.0.1.0;0.4.2.1.0.0.1.0.2;1500 / 1500;0
0.4.2.1.0.0.1.0;0.4.2.1.0.0.1.0.3;1400 / 1400;0
0.4.2.1.0.0.1.0;0.4.2.1.0.0.1.0.4;1600 / 1600;0
0.4.2.1.0.0.1.0;0.4.2.1.0.0.1.0.5;1600 / 1600;0
