0.3.0;0.3.0.0;65598 / 65600;0
0.3.0.0;0.3.0.0.0;-5300 / 5300;1
0.3.0.0;0.3.0.0.1;-8100 / 8100;1
0.3.0.0;0.3.0.0.2;-7800 / 7800;1
0.3.0.0;0.3.0.0.3;-6100 / 6100;1
0.3.0.0;0.3.0.0.4;-5599 / 5600;1
0.3.0.0;0.3.0.0.5;-5700 / 5700;1
0.3.0.0;0.3.0.0.6;-5800 / 5800;1
0.3.0.0;0.3.0.0.7;-7599 / 7600;1
0.3.0.0;0.3.0.0.8;-6600 / 6600;1
0.3.0.0;0.3.0.0.9;-6900 / 6900;1
0.3.0.0.0;0.3.0.0.0.0;-2700 / 2700;1
0.3.0.0.0;0.3.0.0.0.1;-2600 / 2600;1
0.3.0.0.1;0.3.0.0.1.0;-2700 / 2700;1
0.3.0.0.1;0.3.0.0.1.1;-2700 / 2700;1
0.3.0.0.1;0.3.0.0.1.2;-2700 / 2700;1
0.3.0.0.2;0.3.0.0.2.0;-2600 / 2600;1
0.3.0.0.2;0.3.0.0.2.1;-2600 / 2600;1
0.3.0.0.2;0.3.0.0.2.2;-2600 / 2600;1
0.3.0.0.3;0.3.0.0.3.0;-3100 / 3100;1
0.3.0.0.3;0.3.0.0.3.1;-3000 / 3000;1
0.3.0.0.4;0.3.0.0.4.0;-2800 / 2800;1
0.3.0.0.4;0.3.0.0.4.1;-2799 / 2800;1
0.3.0.0.5;0.3.0.0.5.0;-2900 / 2900;1
0.3.0.0.5;0.3.0.0.5.1;-2800 / 2800;1
0.3.0.0.6;0.3.0.0.6.0;-2900 / 2900;1
0.3.0.0.6;0.3.0.0.6.1;-2900 / 2900;1
0.3.0.0.7;0.3.0.0.7.0;-2500 / 2500;1
0.3.0.0.7;0.3.0.0.7.1;-2599 / 2600;1
0.3.0.0.7;0.3.0.0.7.2;-2500 / 2500;1
0.3.0.0.8;0.3.0.0.8.0;-3300 / 3300;1
0.3.0.0.8;0.3.0.0.8.1;-3300 / 3300;1
0.3.0.0.9;0.3.0.0.9.0;-3500 / 3500;1
0.3.0.0.9;0.3.0.0.9.1;-3400 / 3400;1
0.3.0.0.0.0;0.3.0.0.0.0.0;200 / 200;0
0.3.0.0.0.0;0.3.0.0.0.0.2;300 / 300;0
0.3.0.0.0.0;0.3.0.0.0.0.3;200 / 200;0
0.3.0.0.0.0;0.3.0.0.0.0.4;600 / 600;0
0.3.0.0.0.0;0.3.0.0.0.0.5;500 / 500;0
0.3.0.0.0.0;0.3.0.0.0.0.6;300 / 300;0
0.3.0.0.0.0;0.3.0.0.0.0.7;100 / 100;0
0.3.0.0.0.0;0.3.0.0.0.0.8;200 / 200;0
0.3.0.0.0.0;0.3.0.0.0.0.9;200 / 200;0
0.3.0.0.0.1;0.3.0.0.0.1.0;300 / 300;0
0.3.0.0.0.1;0.3.0.0.0.1.1;200 / 200;0
0.3.0.0.0.1;0.3.0.0.0.1.2;200 / 200;0
0.3.0.0.0.1;0.3.0.0.0.1.3;400 / 400;0
0.3.0.0.0.1;0.3.0.0.0.1.4;500 / 500;0
0.3.0.0.0.1;0.3.0.0.0.1.5;100 / 100;0
0.3.0.0.0.1;0.3.0.0.0.1.7;100 / 100;0
0.3.0.0.0.1;0.3.0.0.0.1.8;400 / 400;0
0.3.0.0.0.1;0.3.0.0.0.1.9;300 / 300;0
0.3.0.0.1.0;0.3.0.0.1.0.0;300 / 300;0
0.3.0.0.1.0;0.3.0.0.1.0.1;200 / 200;0
0.3.0.0.1.0;0.3.0.0.1.0.2;200 / 200;0
0.3.0.0.1.0;0.3.0.0.1.0.3;300 / 300;0
0.3.0.0.1.0;0.3.0.0.1.0.4;300 / 300;0
0.3.0.0.1.0;0.3.0.0.1.0.5;200 / 200;0
0.3.0.0.1.0;0.3.0.0.1.0.6;300 / 300;0
0.3.0.0.1.0;0.3.0.0.1.0.7;400 / 400;0
0.3.0.0.1.0;0.3.0.0.1.0.8;200 / 200;0
0.3.0.0.1.0;0.3.0.0.1.0.9;200 / 200;0
0.3.0.0.1.1;0.3.0.0.1.1.0;300 / 300;0
0.3.0.0.1.1;0.3.0.0.1.1.1;400 / 400;0
0.3.0.0.1.1;0.3.0.0.1.1.2;300 / 300;0
0.3.0.0.1.1;0.3.0.0.1.1.3;100 / 100;0
0.3.0.0.1.1;0.3.0.0.1.1.4;300 / 300;0
