0.3.0;0.3.0.0;47500 / 47500;0
0.3.0.0;0.3.0.0.0;-23400 / 23400;1
0.3.0.0;0.3.0.0.1;-24000 / 24000;1
0.3.0.0.0;0.3.0.0.0.0;-4700 / 4700;1
0.3.0.0.0;0.3.0.0.0.1;-4700 / 4700;1
0.3.0.0.0;0.3.0.0.0.2;-4700 / 4700;1
0.3.0.0.0;0.3.0.0.0.3;-4700 / 4700;1
0.3.0.0.0;0.3.0.0.0.4;-4600 / 4600;1
0.3.0.0.1;0.3.0.0.1.0;-4800 / 4800;1
0.3.0.0.1;0.3.0.0.1.1;-4800 / 4800;1
0.3.0.0.1;0.3.0.0.1.2;-4800 / 4800;1
0.3.0.0.1;0.3.0.0.1.3;-4800 / 4800;1
0.3.0.0.1;0.3.0.0.1.4;-4800 / 4800;1
0.3.0.0.0.0;0.3.0.0.0.0.0;-4600 / 4600;1
0.3.0.0.0.1;0.3.0.0.0.1.0;-4600 / 4600;1
0.3.0.0.0.2;0.3.0.0.0.2.0;-4600 / 4600;1
0.3.0.0.0.3;0.3.0.0.0.3.0;-4600 / 4600;1
0.3.0.0.0.4;0.3.0.0.0.4.0;-4500 / 4500;1
0.3.0.0.1.0;0.3.0.0.1.0.0;-4700 / 4700;1
0.3.0.0.1.1;0.3.0.0.1.1.0;-4700 / 4700;1
0.3.0.0.1.2;0.3.0.0.1.2.0;-4700 / 4700;1
0.3.0.0.1.3;0.3.0.0.1.3.0;-4700 / 4700;1
0.3.0.0.1.4;0.3.0.0.1.4.0;-4700 / 4700;1
0.3.0.0.0.0.0;0.3.0.0.0.0.0.0;2000 / 2000;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.1;2500 / 2500;0
0.3.0.0.0.1.0;0.3.0.0.0.1.0.0;1600 / 1600;0
0.3.0.0.0.1.0;0.3.0.0.0.1.0.1;2900 / 2900;0
0.3.0.0.0.2.0;0.3.0.0.0.2.0.0;2000 / 2000;0
0.3.0.0.0.2.0;0.3.0.0.0.2.0.1;2500 / 2500;0
0.3.0.0.0.3.0;0.3.0.0.0.3.0.0;2800 / 2800;0
0.3.0.0.0.3.0;0.3.0.0.0.3.0.1;1700 / 1700;0
0.3.0.0.0.4.0;0.3.0.0.0.4.0.0;2500 / 2500;0
0.3.0.0.0.4.0;0.3.0.0.0.4.0.1;1900 / 1900;0
0.3.0.0.1.0.0;0.3.0.0.1.0.0.0;2100 / 2100;0
0.3.0.0.1.0.0;0.3.0.0.1.0.0.1;2500 / 2500;0
0.3.0.0.1.1.0;0.3.0.0.1.1.0.0;3100 / 3100;0
0.3.0.0.1.1.0;0.3.0.0.1.1.0.1;1500 / 1500;0
0.3.0.0.1.2.0;0.3.0.0.1.2.0.0;2300 / 2300;0
0.3.0.0.1.2.0;0.3.0.0.1.2.0.1;2300 / 2300;0
0.3.0.0.1.3.0;0.3.0.0.1.3.0.0;2100 / 2100;0
0.3.0.0.1.3.0;0.3.0.0.1.3.0.1;2500 / 2500;0
0.3.0.0.1.4.0;0.3.0.0.1.4.0.0;2700 / 2700;0
0.3.0.0.1.4.0;0.3.0.0.1.4.0.1;1900 / 1900;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.0;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.1;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.2;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.3;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.4;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.5;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.6;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.7;200 / 200;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.8;100 / 100;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.9;100 / 100;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.10;100 / 100;0
0.3.0.0.0.0.0.0;0.3.0.0.0.0.0.0.11;100 / 100;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.0;300 / 300;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.1;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.2;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.3;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.4;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.5;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.6;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.7;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.8;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.9;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.10;200 / 200;0
0.3.0.0.0.0.0.1;0.3.0.0.0.0.0.1.11;200 / 200;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.0;200 / 200;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.1;200 / 200;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.2;200 / 200;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.3;200 / 200;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.4;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.5;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.6;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.7;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.8;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.9;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.10;100 / 100;0
0.3.0.0.0.1.0.0;0.3.0.0.0.1.0.0.11;100 / 100;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.0;300 / 300;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.1;300 / 300;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.2;300 / 300;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.3;300 / 300;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.4;300 / 300;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.5;200 / 200;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.6;200 / 200;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.7;200 / 200;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.8;200 / 200;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.9;200 / 200;0
0.3.0.0.0.1.0.1;0.3.0.0.0.1.0.1.10;200 / 200;0
