0.0.0.0;0.0.0.0.0;49300 / 49300;0
0.0.0.0.0;0.0.0.0.0.0;-10400 / 10400;1
0.0.0.0.0;0.0.0.0.0.1;-10200 / 10200;1
0.0.0.0.0;0.0.0.0.0.2;-9800 / 9800;1
0.0.0.0.0;0.0.0.0.0.3;-9700 / 9700;1
0.0.0.0.0;0.0.0.0.0.4;-9100 / 9100;1
0.0.0.0.0.0;0.0.0.0.0.0.0;-2100 / 2100;1
0.0.0.0.0.0;0.0.0.0.0.0.1;-2100 / 2100;1
0.0.0.0.0.0;0.0.0.0.0.0.2;-2100 / 2100;1
0.0.0.0.0.0;0.0.0.0.0.0.3;-2100 / 2100;1
0.0.0.0.0.0;0.0.0.0.0.0.4;-2000 / 2000;1
0.0.0.0.0.1;0.0.0.0.0.1.0;-2100 / 2100;1
0.0.0.0.0.1;0.0.0.0.0.1.1;-2100 / 2100;1
0.0.0.0.0.1;0.0.0.0.0.1.2;-2000 / 2000;1
0.0.0.0.0.1;0.0.0.0.0.1.3;-2000 / 2000;1
0.0.0.0.0.1;0.0.0.0.0.1.4;-2000 / 2000;1
0.0.0.0.0.2;0.0.0.0.0.2.0;-2000 / 2000;1
0.0.0.0.0.2;0.0.0.0.0.2.1;-2000 / 2000;1
0.0.0.0.0.2;0.0.0.0.0.2.2;-2000 / 2000;1
0.0.0.0.0.2;0.0.0.0.0.2.3;-1900 / 1900;1
0.0.0.0.0.2;0.0.0.0.0.2.4;-1900 / 1900;1
0.0.0.0.0.3;0.0.0.0.0.3.0;-2000 / 2000;1
0.0.0.0.0.3;0.0.0.0.0.3.1;-2000 / 2000;1
0.0.0.0.0.3;0.0.0.0.0.3.2;-1900 / 1900;1
0.0.0.0.0.3;0.0.0.0.0.3.3;-1900 / 1900;1
0.0.0.0.0.3;0.0.0.0.0.3.4;-1900 / 1900;1
0.0.0.0.0.4;0.0.0.0.0.4.0;-1900 / 1900;1
0.0.0.0.0.4;0.0.0.0.0.4.1;-1800 / 1800;1
0.0.0.0.0.4;0.0.0.0.0.4.2;-1800 / 1800;1
0.0.0.0.0.4;0.0.0.0.0.4.3;-1800 / 1800;1
0.0.0.0.0.4;0.0.0.0.0.4.4;-1800 / 1800;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-2000 / 2000;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.0;-2000 / 2000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.0;-2000 / 2000;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.0;-2000 / 2000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.0;-1900 / 1900;1
0.0.0.0.0.1.0;0.0.0.0.0.1.0.0;-2000 / 2000;1
0.0.0.0.0.1.1;0.0.0.0.0.1.1.0;-2000 / 2000;1
0.0.0.0.0.1.2;0.0.0.0.0.1.2.0;-1900 / 1900;1
0.0.0.0.0.1.3;0.0.0.0.0.1.3.0;-1900 / 1900;1
0.0.0.0.0.1.4;0.0.0.0.0.1.4.0;-1900 / 1900;1
0.0.0.0.0.2.0;0.0.0.0.0.2.0.0;-1900 / 1900;1
0.0.0.0.0.2.1;0.0.0.0.0.2.1.0;-1900 / 1900;1
0.0.0.0.0.2.2;0.0.0.0.0.2.2.0;-1900 / 1900;1
0.0.0.0.0.2.3;0.0.0.0.0.2.3.0;-1800 / 1800;1
0.0.0.0.0.2.4;0.0.0.0.0.2.4.0;-1800 / 1800;1
0.0.0.0.0.3.0;0.0.0.0.0.3.0.0;-1900 / 1900;1
0.0.0.0.0.3.1;0.0.0.0.0.3.1.0;-1900 / 1900;1
0.0.0.0.0.3.2;0.0.0.0.0.3.2.0;-1800 / 1800;1
0.0.0.0.0.3.3;0.0.0.0.0.3.3.0;-1800 / 1800;1
0.0.0.0.0.3.4;0.0.0.0.0.3.4.0;-1800 / 1800;1
0.0.0.0.0.4.0;0.0.0.0.0.4.0.0;-1800 / 1800;1
0.0.0.0.0.4.1;0.0.0.0.0.4.1.0;-1700 / 1700;1
0.0.0.0.0.4.2;0.0.0.0.0.4.2.0;-1700 / 1700;1
0.0.0.0.0.4.3;0.0.0.0.0.4.3.0;-1700 / 1700;1
0.0.0.0.0.4.4;0.0.0.0.0.4.4.0;-1700 / 1700;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;600 / 600;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.1;200 / 200;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.2;100 / 100;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.3;600 / 600;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.4;400 / 400;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.0;400 / 400;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.1;200 / 200;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.2;500 / 500;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.3;400 / 400;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.4;400 / 400;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.0;500 / 500;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.1;500 / 500;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.2;600 / 600;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.3;300 / 300;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.0;200 / 200;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.1;200 / 200;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.2;300 / 300;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.3;700 / 700;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.4;500 / 500;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.0;500 / 500;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.1;400 / 400;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.2;200 / 200;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.3;500 / 500;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.4;200 / 200;0
0.0.0.0.0.1.0.0;0.0.0.0.0.1.0.0.0;200 / 200;0
0.0.0.0.0.1.0.0;0.0.0.0.0.1.0.0.1;500 / 500;0
0.0.0.0.0.1.0.0;0.0.0.0.0.1.0.0.2;600 / 600;0
0.0.0.0.0.1.0.0;0.0.0.0.0.1.0.0.3;400 / 400;0
0.0.0.0.0.1.0.0;0.0.0.0.0.1.0.0.4;200 / 200;0
0.0.0.0.0.1.1.0;0.0.0.0.0.1.1.0.0;500 / 500;0
0.0.0.0.0.1.1.0;0.0.0.0.0.1.1.0.1;100 / 100;0
0.0.0.0.0.1.1.0;0.0.0.0.0.1.1.0.2;800 / 800;0
0.0.0.0.0.1.1.0;0.0.0.0.0.1.1.0.3;300 / 300;0
0.0.0.0.0.1.1.0;0.0.0.0.0.1.1.0.4;200 / 200;0
0.0.0.0.0.1.2.0;0.0.0.0.0.1.2.0.0;600 / 600;0
0.0.0.0.0.1.2.0;0.0.0.0.0.1.2.0.1;300 / 300;0
0.0.0.0.0.1.2.0;0.0.0.0.0.1.2.0.2;100 / 100;0
0.0.0.0.0.1.2.0;0.0.0.0.0.1.2.0.3;100 / 100;0
0.0.0.0.0.1.2.0;0.0.0.0.0.1.2.0.4;700 / 700;0
0.0.0.0.0.1.3.0;0.0.0.0.0.1.3.0.0;300 / 300;0
0.0.0.0.0.1.3.0;0.0.0.0.0.1.3.0.1;300 / 300;0
0.0.0.0.0.1.3.0;0.0.0.0.0.1.3.0.2;400 / 400;0
0.0.0.0.0.1.3.0;0.0.0.0.0.1.3.0.3;300 / 300;0
0.0.0.0.0.1.3.0;0.0.0.0.0.1.3.0.4;500 / 500;0
0.0.0.0.0.1.4.0;0.0.0.0.0.1.4.0.0;300 / 300;0
0.0.0.0.0.1.4.0;0.0.0.0.0.1.4.0.1;300 / 300;0
0.0.0.0.0.1.4.0;0.0.0.0.0.1.4.0.2;300 / 300;0
0.0.0.0.0.1.4.0;0.0.0.0.0.1.4.0.3;300 / 300;0
0.0.0.0.0.1.4.0;0.0.0.0.0.1.4.0.4;600 / 600;0
0.0.0.0.0.2.0.0;0.0.0.0.0.2.0.0.0;400 / 400;0
0.0.0.0.0.2.0.0;0.0.0.0.0.2.0.0.1;100 / 100;0
0.0.0.0.0.2.0.0;0.0.0.0.0.2.0.0.2;400 / 400;0
0.0.0.0.0.2.0.0;0.0.0.0.0.2.0.0.3;300 / 300;0
0.0.0.0.0.2.0.0;0.0.0.0.0.2.0.0.4;600 / 600;0
0.0.0.0.0.2.1.0;0.0.0.0.0.2.1.0.0;500 / 500;0
0.0.0.0.0.2.1.0;0.0.0.0.0.2.1.0.1;200 / 200;0
