0.0.0.0;0.0.0.0.0;164500 / 164500;0
0.0.0.0.0;0.0.0.0.0.0;-55500 / 55500;1
0.0.0.0.0;0.0.0.0.0.1;-54200 / 54200;1
0.0.0.0.0;0.0.0.0.0.2;-54700 / 54700;1
0.0.0.0.0.0;0.0.0.0.0.0.0;-11100 / 11100;1
0.0.0.0.0.0;0.0.0.0.0.0.1;-11100 / 11100;1
0.0.0.0.0.0;0.0.0.0.0.0.2;-11100 / 11100;1
0.0.0.0.0.0;0.0.0.0.0.0.3;-11100 / 11100;1
0.0.0.0.0.0;0.0.0.0.0.0.4;-11100 / 11100;1
0.0.0.0.0.1;0.0.0.0.0.1.0;-10900 / 10900;1
0.0.0.0.0.1;0.0.0.0.0.1.1;-10900 / 10900;1
0.0.0.0.0.1;0.0.0.0.0.1.2;-10800 / 10800;1
0.0.0.0.0.1;0.0.0.0.0.1.3;-10800 / 10800;1
0.0.0.0.0.1;0.0.0.0.0.1.4;-10800 / 10800;1
0.0.0.0.0.2;0.0.0.0.0.2.0;-11000 / 11000;1
0.0.0.0.0.2;0.0.0.0.0.2.1;-11000 / 11000;1
0.0.0.0.0.2;0.0.0.0.0.2.2;-10900 / 10900;1
0.0.0.0.0.2;0.0.0.0.0.2.3;-10900 / 10900;1
0.0.0.0.0.2;0.0.0.0.0.2.4;-10900 / 10900;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-11000 / 11000;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.0;-11000 / 11000;1
0.0.0.0.0.0.2;0.0.0.0.0.0.2.0;-11000 / 11000;1
0.0.0.0.0.0.3;0.0.0.0.0.0.3.0;-11000 / 11000;1
0.0.0.0.0.0.4;0.0.0.0.0.0.4.0;-11000 / 11000;1
0.0.0.0.0.1.0;0.0.0.0.0.1.0.0;-10800 / 10800;1
0.0.0.0.0.1.1;0.0.0.0.0.1.1.0;-10800 / 10800;1
0.0.0.0.0.1.2;0.0.0.0.0.1.2.0;-10700 / 10700;1
0.0.0.0.0.1.3;0.0.0.0.0.1.3.0;-10700 / 10700;1
0.0.0.0.0.1.4;0.0.0.0.0.1.4.0;-10700 / 10700;1
0.0.0.0.0.2.0;0.0.0.0.0.2.0.0;-10900 / 10900;1
0.0.0.0.0.2.1;0.0.0.0.0.2.1.0;-10900 / 10900;1
0.0.0.0.0.2.2;0.0.0.0.0.2.2.0;-10800 / 10800;1
0.0.0.0.0.2.3;0.0.0.0.0.2.3.0;-10800 / 10800;1
0.0.0.0.0.2.4;0.0.0.0.0.2.4.0;-10800 / 10800;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;3200 / 3200;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.1;3900 / 3900;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.2;3800 / 3800;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.0;3800 / 3800;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.1;3200 / 3200;0
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.2;3900 / 3900;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.0;3700 / 3700;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.1;3400 / 3400;0
0.0.0.0.0.0.2.0;0.0.0.0.0.0.2.0.2;3800 / 3800;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.0;4000 / 4000;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.1;4000 / 4000;0
0.0.0.0.0.0.3.0;0.0.0.0.0.0.3.0.2;2900 / 2900;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.0;3500 / 3500;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.1;4000 / 4000;0
0.0.0.0.0.0.4.0;0.0.0.0.0.0.4.0.2;3400 / 3400;0
0.0.0.0.0.1.0.0;0.0.0.0.0.1.0.0.0;3200 / 3200;0
