0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.3.12;-400 / 400;1
0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.3.13;-400 / 400;1
0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.3.14;-400 / 400;1
0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.3.15;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.0;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.1;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.2;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.3;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.4;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.5;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.6;-500 / 500;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.7;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.8;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.9;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.10;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.11;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.12;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.13;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.14;-400 / 400;1
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.15;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.0;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.1;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.2;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.3;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.4;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.5;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.6;-400 / 400;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.7;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.8;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.9;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.10;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.11;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.12;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.13;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.14;-300 / 300;1
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.15;-300 / 300;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.0;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.1;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.2;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.3;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.4;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.5;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.6;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.7;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.8;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.9;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.10;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.11;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.12;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.13;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.14;-400 / 400;1
0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.6.15;-300 / 300;1
0.0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.0.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.0.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.0.1.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.0.1.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.0.0.2.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.0.0.2.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.0.3.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.0.3.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.0.4.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.0.4.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.0.5.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.0.5.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.0.6.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.0.0.6.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.7;0.0.0.0.0.0.0.0.0.7.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.7;0.0.0.0.0.0.0.0.0.7.1;-100 / 100;1
0.0.0.0.0.0.0.0.0.8;0.0.0.0.0.0.0.0.0.8.0;-200 / 200;1
0.0.0.0.0.0.0.0.0.9;0.0.0.0.0.0.0.0.0.9.0;-200 / 200;1
0.0.0.0.0.0.0.0.0.10;0.0.0.0.0.0.0.0.0.10.0;-200 / 200;1
0.0.0.0.0.0.0.0.0.11;0.0.0.0.0.0.0.0.0.11.0;-200 / 200;1
0.0.0.0.0.0.0.0.0.12;0.0.0.0.0.0.0.0.0.12.0;-200 / 200;1
0.0.0.0.0.0.0.0.0.13;0.0.0.0.0.0.0.0.0.13.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.14;0.0.0.0.0.0.0.0.0.14.0;-100 / 100;1
0.0.0.0.0.0.0.0.0.15;0.0.0.0.0.0.0.0.0.15.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.0;0.0.0.0.0.0.0.0.1.0.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.0;0.0.0.0.0.0.0.0.1.0.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.0;0.0.0.0.0.0.0.0.1.0.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.1;0.0.0.0.0.0.0.0.1.1.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.1;0.0.0.0.0.0.0.0.1.1.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.1;0.0.0.0.0.0.0.0.1.1.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.2;0.0.0.0.0.0.0.0.1.2.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.2;0.0.0.0.0.0.0.0.1.2.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.2;0.0.0.0.0.0.0.0.1.2.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.3;0.0.0.0.0.0.0.0.1.3.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.3;0.0.0.0.0.0.0.0.1.3.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.3;0.0.0.0.0.0.0.0.1.3.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.4;0.0.0.0.0.0.0.0.1.4.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.4;0.0.0.0.0.0.0.0.1.4.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.4;0.0.0.0.0.0.0.0.1.4.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.5;0.0.0.0.0.0.0.0.1.5.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.5;0.0.0.0.0.0.0.0.1.5.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.5;0.0.0.0.0.0.0.0.1.5.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.6;0.0.0.0.0.0.0.0.1.6.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.6;0.0.0.0.0.0.0.0.1.6.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.6;0.0.0.0.0.0.0.0.1.6.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.7;0.0.0.0.0.0.0.0.1.7.0;-100 / 100;1
0.0.0.0.0.0.0.0.1.7;0.0.0.0.0.0.0.0.1.7.1;-100 / 100;1
0.0.0.0.0.0.0.0.1.7;0.0.0.0.0.0.0.0.1.7.2;-100 / 100;1
0.0.0.0.0.0.0.0.1.8;0.0.0.0.0.0.0.0.1.8.0;-300 / 300;1
0.0.0.0.0.0.0.0.1.9;0.0.0.0.0.0.0.0.1.9.0;-300 / 300;1
0.0.0.0.0.0.0.0.1.10;0.0.0.0.0.0.0.0.1.10.0;-300 / 300;1
0.0.0.0.0.0.0.0.1.11;0.0.0.0.0.0.0.0.1.11.0;-200 / 200;1
0.0.0.0.0.0.0.0.1.12;0.0.0.0.0.0.0.0.1.12.0;-200 / 200;1
0.0.0.0.0.0.0.0.1.13;0.0.0.0.0.0.0.0.1.13.0;-200 / 200;1
0.0.0.0.0.0.0.0.1.14;0.0.0.0.0.0.0.0.1.14.0;-200 / 200;1
0.0.0.0.0.0.0.0.1.15;0.0.0.0.0.0.0.0.1.15.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.0;0.0.0.0.0.0.0.0.2.0.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.0;0.0.0.0.0.0.0.0.2.0.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.0;0.0.0.0.0.0.0.0.2.0.2;-100 / 100;1
0.0.0.0.0.0.0.0.2.1;0.0.0.0.0.0.0.0.2.1.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.1;0.0.0.0.0.0.0.0.2.1.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.1;0.0.0.0.0.0.0.0.2.1.2;-100 / 100;1
