0.2.3.1;0.2.3.1.0;180189 / 180200;0
0.2.3.1.0;0.2.3.1.0.0;-19199 / 19200;1
0.2.3.1.0;0.2.3.1.0.1;-16600 / 16600;1
0.2.3.1.0;0.2.3.1.0.2;-18499 / 18500;1
0.2.3.1.0;0.2.3.1.0.3;-15799 / 15800;1
0.2.3.1.0;0.2.3.1.0.4;-16898 / 16900;1
0.2.3.1.0;0.2.3.1.0.5;-20000 / 20000;1
0.2.3.1.0;0.2.3.1.0.6;-18594 / 18600;1
0.2.3.1.0;0.2.3.1.0.7;-16300 / 16300;1
0.2.3.1.0;0.2.3.1.0.8;-19800 / 19800;1
0.2.3.1.0;0.2.3.1.0.9;-18400 / 18400;1
0.2.3.1.0.0;0.2.3.1.0.0.0;-19199 / 19200;1
0.2.3.1.0.1;0.2.3.1.0.1.0;-16600 / 16600;1
0.2.3.1.0.2;0.2.3.1.0.2.0;-9200 / 9200;1
0.2.3.1.0.2;0.2.3.1.0.2.1;-9299 / 9300;1
0.2.3.1.0.3;0.2.3.1.0.3.0;-15799 / 15800;1
0.2.3.1.0.4;0.2.3.1.0.4.0;-16898 / 16900;1
0.2.3.1.0.5;0.2.3.1.0.5.0;-6700 / 6700;1
0.2.3.1.0.5;0.2.3.1.0.5.1;-6700 / 6700;1
0.2.3.1.0.5;0.2.3.1.0.5.2;-6600 / 6600;1
0.2.3.1.0.6;0.2.3.1.0.6.0;-6199 / 6200;1
0.2.3.1.0.6;0.2.3.1.0.6.1;-6198 / 6200;1
0.2.3.1.0.6;0.2.3.1.0.6.2;-6197 / 6200;1
0.2.3.1.0.7;0.2.3.1.0.7.0;-16300 / 16300;1
0.2.3.1.0.8;0.2.3.1.0.8.0;-9900 / 9900;1
0.2.3.1.0.8;0.2.3.1.0.8.1;-9900 / 9900;1
0.2.3.1.0.9;0.2.3.1.0.9.0;-9200 / 9200;1
0.2.3.1.0.9;0.2.3.1.0.9.1;-9200 / 9200;1
0.2.3.1.0.0.0;0.2.3.1.0.0.0.0;1300 / 1300;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.1;1600 / 1600;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.2;2400 / 2400;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.3;1500 / 1500;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.4;1500 / 1500;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.5;1399 / 1400;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.6;2300 / 2300;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.7;1900 / 1900;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.8;2800 / 2800;0
0.2.3.1.0.0.0;0.2.3.1.0.0.0.9;2400 / 2400;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.0;1000 / 1000;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.1;1700 / 1700;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.2;1600 / 1600;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.3;1700 / 1700;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.4;2400 / 2400;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.5;1600 / 1600;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.6;1700 / 1700;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.7;2100 / 2100;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.8;1500 / 1500;0
0.2.3.1.0.1.0;0.2.3.1.0.1.0.9;1200 / 1200;0
