0;0.0;21369 / 30000;0
0.0;0.0.0;-1891 / 2200;1
0.0;0.0.1;-1895 / 2800;1
0.0;0.0.2;-1515 / 1800;1
0.0;0.0.3;-908 / 1200;1
0.0;0.0.4;-966 / 1400;1
0.0;0.0.5;-1832 / 2500;1
0.0;0.0.6;-1633 / 2400;1
0.0;0.0.7;-1017 / 1500;1
0.0;0.0.8;-1349 / 2200;1
0.0;0.0.9;-1867 / 2300;1
0.0;0.0.10;-852 / 1300;1
0.0;0.0.11;-1682 / 2500;1
0.0;0.0.12;-1475 / 2200;1
0.0;0.0.13;-1303 / 1900;1
0.0;0.0.14;-1100 / 1700;1
0.0.0;0.0.0.0;-835 / 900;1
0.0.0;0.0.0.1;-1056 / 1300;1
0.0.1;0.0.1.0;-764 / 900;1
0.0.1;0.0.1.1;-1131 / 1900;1
0.0.2;0.0.2.0;-640 / 700;1
0.0.2;0.0.2.1;-875 / 1100;1
0.0.3;0.0.3.0;-433 / 500;1
0.0.3;0.0.3.1;-475 / 700;1
0.0.4;0.0.4.0;-427 / 500;1
0.0.4;0.0.4.1;-539 / 900;1
0.0.5;0.0.5.0;-775 / 900;1
0.0.5;0.0.5.1;-1057 / 1600;1
0.0.6;0.0.6.0;-658 / 800;1
0.0.6;0.0.6.1;-975 / 1600;1
0.0.7;0.0.7.0;-466 / 600;1
0.0.7;0.0.7.1;-551 / 900;1
0.0.8;0.0.8.0;-535 / 700;1
0.0.8;0.0.8.1;-814 / 1500;1
0.0.9;0.0.9.0;-799 / 900;1
0.0.9;0.0.9.1;-1068 / 1400;1
0.0.10;0.0.10.0;-402 / 500;1
0.0.10;0.0.10.1;-450 / 800;1
0.0.11;0.0.11.0;-649 / 800;1
0.0.11;0.0.11.1;-1033 / 1700;1
0.0.12;0.0.12.0;-580 / 700;1
0.0.12;0.0.12.1;-895 / 1500;1
0.0.13;0.0.13.0;-553 / 700;1
0.0.13;0.0.13.1;-750 / 1200;1
0.0.14;0.0.14.0;-511 / 700;1
0.0.14;0.0.14.1;-589 / 1000;1
0.0.0.0;0.0.0.0.0;94 / 100;0
0.0.0.0;0.0.0.0.1;93 / 100;0
0.0.0.0;0.0.0.0.2;91 / 100;0
0.0.0.0;0.0.0.0.3;91 / 100;0
0.0.0.0;0.0.0.0.4;91 / 100;0
0.0.0.0;0.0.0.0.5;91 / 100;0
0.0.0.0;0.0.0.0.6;98 / 100;0
0.0.0.0;0.0.0.0.7;97 / 100;0
0.0.0.1;0.0.0.1.0;72 / 100;0
0.0.0.1;0.0.0.1.1;86 / 100;0
0.0.0.1;0.0.0.1.2;78 / 100;0
0.0.0.1;0.0.0.1.3;80 / 100;0
0.0.0.1;0.0.0.1.4;71 / 100;0
0.0.0.1;0.0.0.1.5;82 / 100;0
0.0.0.1;0.0.0.1.6;81 / 100;0
0.0.0.1;0.0.0.1.7;90 / 100;0
0.0.0.1;0.0.0.1.8;81 / 100;0
0.0.0.1;0.0.0.1.9;82 / 100;0
0.0.0.1;0.0.0.1.10;86 / 100;0
0.0.0.1;0.0.0.1.11;88 / 100;0
0.0.1.0;0.0.1.0.0;-686 / 800;1
0.0.1.1;0.0.1.1.0;-1088 / 1800;1
0.0.2.0;0.0.2.0.0;87 / 100;0
0.0.2.0;0.0.2.0.1;93 / 100;0
0.0.2.0;0.0.2.0.2;95 / 100;0
0.0.2.0;0.0.2.0.3;89 / 100;0
0.0.2.0;0.0.2.0.4;84 / 100;0
0.0.2.0;0.0.2.0.5;95 / 100;0
0.0.2.1;0.0.2.1.0;81 / 100;0
0.0.2.1;0.0.2.1.1;89 / 100;0
0.0.2.1;0.0.2.1.2;72 / 100;0
0.0.2.1;0.0.2.1.3;70 / 100;0
0.0.2.1;0.0.2.1.4;82 / 100;0
0.0.2.1;0.0.2.1.5;80 / 100;0
0.0.2.1;0.0.2.1.6;74 / 100;0
0.0.2.1;0.0.2.1.7;84 / 100;0
0.0.2.1;0.0.2.1.8;79 / 100;0
