0.3.0;0.3.0.0;65384 / 65400;0
0.3.0.0;0.3.0.0.0;-18087 / 18100;1
0.3.0.0;0.3.0.0.1;-16697 / 16700;1
0.3.0.0;0.3.0.0.2;-16000 / 16000;1
0.3.0.0;0.3.0.0.3;-14500 / 14500;1
0.3.0.0.0;0.3.0.0.0.0;-18087 / 18100;1
0.3.0.0.1;0.3.0.0.1.0;-16697 / 16700;1
0.3.0.0.2;0.3.0.0.2.0;-16000 / 16000;1
0.3.0.0.3;0.3.0.0.3.0;-14500 / 14500;1
0.3.0.0.0.0;0.3.0.0.0.0.0;4000 / 4000;0
0.3.0.0.0.0;0.3.0.0.0.0.1;5787 / 5800;0
0.3.0.0.0.0;0.3.0.0.0.0.2;4400 / 4400;0
0.3.0.0.0.0;0.3.0.0.0.0.3;3800 / 3800;0
0.3.0.0.1.0;0.3.0.0.1.0.0;4500 / 4500;0
0.3.0.0.1.0;0.3.0.0.1.0.1;4598 / 4600;0
0.3.0.0.1.0;0.3.0.0.1.0.2;2899 / 2900;0
0.3.0.0.1.0;0.3.0.0.1.0.3;4600 / 4600;0
0.3.0.0.2.0;0.3.0.0.2.0.0;3600 / 3600;0
0.3.0.0.2.0;0.3.0.0.2.0.1;4200 / 4200;0
0.3.0.0.2.0;0.3.0.0.2.0.2;4100 / 4100;0
0.3.0.0.2.0;0.3.0.0.2.0.3;4000 / 4000;0
0.3.0.0.3.0;0.3.0.0.3.0.0;4300 / 4300;0
0.3.0.0.3.0;0.3.0.0.3.0.1;2500 / 2500;0
0.3.0.0.3.0;0.3.0.0.3.0.2;3600 / 3600;0
0.3.0.0.3.0;0.3.0.0.3.0.3;4000 / 4000;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.0;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.1;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.2;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.3;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.4;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.5;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.6;500 / 500;0
0.3.0.0.0.0.0;0.3.0.0.0.0.0.7;500 / 500;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.0;800 / 800;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.1;800 / 800;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.2;700 / 700;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.3;700 / 700;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.4;700 / 700;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.5;700 / 700;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.6;694 / 700;0
0.3.0.0.0.0.1;0.3.0.0.0.0.1.7;693 / 700;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.0;600 / 600;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.1;600 / 600;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.2;600 / 600;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.3;600 / 600;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.4;500 / 500;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.5;500 / 500;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.6;500 / 500;0
0.3.0.0.0.0.2;0.3.0.0.0.0.2.7;500 / 500;0
0.3.0.0.0.0.3;0.3.0.0.0.0.3.0;500 / 500;0
