0.3.1.1;0.3.1.1.0;140238 / 140300;0
0.3.1.1.0;0.3.1.1.0.0;-13690 / 13700;1
0.3.1.1.0;0.3.1.1.0.1;-14296 / 14300;1
0.3.1.1.0;0.3.1.1.0.2;-13583 / 13600;1
0.3.1.1.0;0.3.1.1.0.3;-12399 / 12400;1
0.3.1.1.0;0.3.1.1.0.4;-13800 / 13800;1
0.3.1.1.0;0.3.1.1.0.5;-15300 / 15300;1
0.3.1.1.0;0.3.1.1.0.6;-14597 / 14600;1
0.3.1.1.0;0.3.1.1.0.7;-14500 / 14500;1
0.3.1.1.0;0.3.1.1.0.8;-15300 / 15300;1
0.3.1.1.0;0.3.1.1.0.9;-12673 / 12700;1
0.3.1.1.0.0;0.3.1.1.0.0.0;-2000 / 2000;1
0.3.1.1.0.0;0.3.1.1.0.0.1;-1900 / 1900;1
0.3.1.1.0.0;0.3.1.1.0.0.2;-1900 / 1900;1
0.3.1.1.0.0;0.3.1.1.0.0.3;-1999 / 2000;1
0.3.1.1.0.0;0.3.1.1.0.0.4;-1994 / 2000;1
0.3.1.1.0.0;0.3.1.1.0.0.5;-1997 / 2000;1
0.3.1.1.0.0;0.3.1.1.0.0.6;-1900 / 1900;1
0.3.1.1.0.1;0.3.1.1.0.1.0;-2100 / 2100;1
0.3.1.1.0.1;0.3.1.1.0.1.1;-2099 / 2100;1
0.3.1.1.0.1;0.3.1.1.0.1.2;-2000 / 2000;1
0.3.1.1.0.1;0.3.1.1.0.1.3;-2000 / 2000;1
0.3.1.1.0.1;0.3.1.1.0.1.4;-2097 / 2100;1
0.3.1.1.0.1;0.3.1.1.0.1.5;-2000 / 2000;1
0.3.1.1.0.1;0.3.1.1.0.1.6;-2000 / 2000;1
0.3.1.1.0.2;0.3.1.1.0.2.0;-1899 / 1900;1
0.3.1.1.0.2;0.3.1.1.0.2.1;-1899 / 1900;1
0.3.1.1.0.2;0.3.1.1.0.2.2;-1900 / 1900;1
0.3.1.1.0.2;0.3.1.1.0.2.3;-1998 / 2000;1
0.3.1.1.0.2;0.3.1.1.0.2.4;-1990 / 2000;1
0.3.1.1.0.2;0.3.1.1.0.2.5;-1998 / 2000;1
0.3.1.1.0.2;0.3.1.1.0.2.6;-1899 / 1900;1
0.3.1.1.0.3;0.3.1.1.0.3.0;-1800 / 1800;1
0.3.1.1.0.3;0.3.1.1.0.3.1;-1800 / 1800;1
0.3.1.1.0.3;0.3.1.1.0.3.2;-1800 / 1800;1
0.3.1.1.0.3;0.3.1.1.0.3.3;-1800 / 1800;1
0.3.1.1.0.3;0.3.1.1.0.3.4;-1799 / 1800;1
0.3.1.1.0.3;0.3.1.1.0.3.5;-1700 / 1700;1
0.3.1.1.0.3;0.3.1.1.0.3.6;-1700 / 1700;1
0.3.1.1.0.4;0.3.1.1.0.4.0;-2000 / 2000;1
0.3.1.1.0.4;0.3.1.1.0.4.1;-2000 / 2000;1
