0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.6;400 / 400;0
0.2.1.3.0.0.0.0.2;0.2.1.3.0.0.0.0.2.7;900 / 900;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.0;700 / 700;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.1;700 / 700;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.2;1000 / 1000;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.3;700 / 700;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.4;600 / 600;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.5;600 / 600;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.6;900 / 900;0
0.2.1.3.0.0.0.0.3;0.2.1.3.0.0.0.0.3.7;700 / 700;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.0;600 / 600;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.1;900 / 900;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.2;1000 / 1000;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.3;500 / 500;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.4;1000 / 1000;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.5;600 / 600;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.6;500 / 500;0
0.2.1.3.0.0.0.0.4;0.2.1.3.0.0.0.0.4.7;800 / 800;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.0;1100 / 1100;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.1;700 / 700;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.2;300 / 300;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.3;1100 / 1100;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.4;1100 / 1100;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.5;400 / 400;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.6;1500 / 1500;0
0.2.1.3.0.0.0.1.0;0.2.1.3.0.0.0.1.0.7;600 / 600;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.0;500 / 500;0
