0.5.1.0.0;0.5.1.0.0.0;258800 / 258800;0
0.5.1.0.0.0;0.5.1.0.0.0.0;-31700 / 31700;1
0.5.1.0.0.0;0.5.1.0.0.0.1;-34100 / 34100;1
0.5.1.0.0.0;0.5.1.0.0.0.2;-33000 / 33000;1
0.5.1.0.0.0;0.5.1.0.0.0.3;-31400 / 31400;1
0.5.1.0.0.0;0.5.1.0.0.0.4;-32800 / 32800;1
0.5.1.0.0.0;0.5.1.0.0.0.5;-32300 / 32300;1
0.5.1.0.0.0;0.5.1.0.0.0.6;-32100 / 32100;1
0.5.1.0.0.0;0.5.1.0.0.0.7;-31300 / 31300;1
0.5.1.0.0.0.0;0.5.1.0.0.0.0.0;-31700 / 31700;1
0.5.1.0.0.0.1;0.5.1.0.0.0.1.0;-34100 / 34100;1
0.5.1.0.0.0.2;0.5.1.0.0.0.2.0;-33000 / 33000;1
0.5.1.0.0.0.3;0.5.1.0.0.0.3.0;-31400 / 31400;1
0.5.1.0.0.0.4;0.5.1.0.0.0.4.0;-32800 / 32800;1
0.5.1.0.0.0.5;0.5.1.0.0.0.5.0;-32300 / 32300;1
0.5.1.0.0.0.6;0.5.1.0.0.0.6.0;-32100 / 32100;1
0.5.1.0.0.0.7;0.5.1.0.0.0.7.0;-31300 / 31300;1
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.0;2900 / 2900;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.1;3500 / 3500;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.2;3200 / 3200;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.3;5100 / 5100;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.4;4800 / 4800;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.5;3900 / 3900;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.6;4100 / 4100;0
0.5.1.0.0.0.0.0;0.5.1.0.0.0.0.0.7;4100 / 4100;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.0;4000 / 4000;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.1;2400 / 2400;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.2;4500 / 4500;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.3;4200 / 4200;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.4;4000 / 4000;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.5;5000 / 5000;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.6;4800 / 4800;0
0.5.1.0.0.0.1.0;0.5.1.0.0.0.1.0.7;5100 / 5100;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.0;4100 / 4100;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.1;3800 / 3800;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.2;4300 / 4300;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.3;4300 / 4300;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.4;5100 / 5100;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.5;3600 / 3600;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.6;3700 / 3700;0
0.5.1.0.0.0.2.0;0.5.1.0.0.0.2.0.7;4000 / 4000;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.0;3800 / 3800;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.1;5500 / 5500;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.2;3500 / 3500;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.3;2900 / 2900;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.4;4300 / 4300;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.5;3300 / 3300;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.6;3900 / 3900;0
0.5.1.0.0.0.3.0;0.5.1.0.0.0.3.0.7;4100 / 4100;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.0;4100 / 4100;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.1;3700 / 3700;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.2;4400 / 4400;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.3;4100 / 4100;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.4;3600 / 3600;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.5;4500 / 4500;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.6;3500 / 3500;0
0.5.1.0.0.0.4.0;0.5.1.0.0.0.4.0.7;4800 / 4800;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.0;4200 / 4200;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.1;3700 / 3700;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.2;3500 / 3500;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.3;3900 / 3900;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.4;4200 / 4200;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.5;4300 / 4300;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.6;4800 / 4800;0
0.5.1.0.0.0.5.0;0.5.1.0.0.0.5.0.7;3600 / 3600;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.0;3000 / 3000;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.1;4200 / 4200;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.2;3500 / 3500;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.3;4700 / 4700;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.4;4900 / 4900;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.5;4200 / 4200;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.6;3800 / 3800;0
0.5.1.0.0.0.6.0;0.5.1.0.0.0.6.0.7;3700 / 3700;0
0.5.1.0.0.0.7.0;0.5.1.0.0.0.7.0.0;3500 / 3500;0
0.5.1.0.0.0.7.0;0.5.1.0.0.0.7.0.1;3900 / 3900;0
