0.3;0.3.0;34996 / 35000;0
0.3.0;0.3.0.0;17397 / 17400;0
0.3.0;0.3.0.1;17499 / 17500;0
0.3.0.0;0.3.0.0.0;-1500 / 1500;1
0.3.0.0;0.3.0.0.1;-1700 / 1700;1
0.3.0.0;0.3.0.0.2;-1300 / 1300;1
0.3.0.0;0.3.0.0.3;-1600 / 1600;1
0.3.0.0;0.3.0.0.4;-1599 / 1600;1
0.3.0.0;0.3.0.0.5;-1400 / 1400;1
0.3.0.0;0.3.0.0.6;-1399 / 1400;1
0.3.0.0;0.3.0.0.7;-2000 / 2000;1
0.3.0.0;0.3.0.0.8;-1500 / 1500;1
0.3.0.0;0.3.0.0.9;-1900 / 1900;1
0.3.0.0;0.3.0.0.10;-1399 / 1400;1
0.3.0.1;0.3.0.1.0;-1900 / 1900;1
0.3.0.1;0.3.0.1.1;-1500 / 1500;1
0.3.0.1;0.3.0.1.2;-1099 / 1100;1
0.3.0.1;0.3.0.1.3;-1300 / 1300;1
0.3.0.1;0.3.0.1.4;-1900 / 1900;1
0.3.0.1;0.3.0.1.5;-1400 / 1400;1
0.3.0.1;0.3.0.1.6;-2100 / 2100;1
0.3.0.1;0.3.0.1.7;-1500 / 1500;1
0.3.0.1;0.3.0.1.8;-1400 / 1400;1
0.3.0.1;0.3.0.1.9;-1600 / 1600;1
0.3.0.1;0.3.0.1.10;-1700 / 1700;1
0.3.0.0.0;0.3.0.0.0.0;-300 / 300;1
0.3.0.0.0;0.3.0.0.0.1;-300 / 300;1
0.3.0.0.0;0.3.0.0.0.2;-300 / 300;1
0.3.0.0.0;0.3.0.0.0.3;-200 / 200;1
0.3.0.0.0;0.3.0.0.0.4;-200 / 200;1
0.3.0.0.0;0.3.0.0.0.5;-200 / 200;1
0.3.0.0.1;0.3.0.0.1.0;-600 / 600;1
0.3.0.0.1;0.3.0.0.1.1;-600 / 600;1
0.3.0.0.1;0.3.0.0.1.2;-500 / 500;1
0.3.0.0.2;0.3.0.0.2.0;-300 / 300;1
0.3.0.0.2;0.3.0.0.2.1;-200 / 200;1
