0.8.1;0.8.1.0;154200 / 154200;0
0.8.1.0;0.8.1.0.0;-20700 / 20700;1
0.8.1.0;0.8.1.0.1;-20300 / 20300;1
0.8.1.0;0.8.1.0.2;-17400 / 17400;1
0.8.1.0;0.8.1.0.3;-17000 / 17000;1
0.8.1.0;0.8.1.0.4;-20300 / 20300;1
0.8.1.0;0.8.1.0.5;-20300 / 20300;1
0.8.1.0;0.8.1.0.6;-18300 / 18300;1
0.8.1.0;0.8.1.0.7;-19800 / 19800;1
0.8.1.0.0;0.8.1.0.0.0;-3500 / 3500;1
0.8.1.0.0;0.8.1.0.0.1;-3500 / 3500;1
0.8.1.0.0;0.8.1.0.0.2;-3500 / 3500;1
0.8.1.0.0;0.8.1.0.0.3;-3400 / 3400;1
0.8.1.0.0;0.8.1.0.0.4;-3400 / 3400;1
0.8.1.0.0;0.8.1.0.0.5;-3400 / 3400;1
0.8.1.0.1;0.8.1.0.1.0;-3400 / 3400;1
0.8.1.0.1;0.8.1.0.1.1;-3400 / 3400;1
0.8.1.0.1;0.8.1.0.1.2;-3400 / 3400;1
0.8.1.0.1;0.8.1.0.1.3;-3400 / 3400;1
0.8.1.0.1;0.8.1.0.1.4;-3400 / 3400;1
0.8.1.0.1;0.8.1.0.1.5;-3300 / 3300;1
0.8.1.0.2;0.8.1.0.2.0;-2900 / 2900;1
0.8.1.0.2;0.8.1.0.2.1;-2900 / 2900;1
0.8.1.0.2;0.8.1.0.2.2;-2900 / 2900;1
0.8.1.0.2;0.8.1.0.2.3;-2900 / 2900;1
0.8.1.0.2;0.8.1.0.2.4;-2900 / 2900;1
0.8.1.0.2;0.8.1.0.2.5;-2900 / 2900;1
0.8.1.0.3;0.8.1.0.3.0;-2900 / 2900;1
0.8.1.0.3;0.8.1.0.3.1;-2900 / 2900;1
0.8.1.0.3;0.8.1.0.3.2;-2800 / 2800;1
0.8.1.0.3;0.8.1.0.3.3;-2800 / 2800;1
0.8.1.0.3;0.8.1.0.3.4;-2800 / 2800;1
0.8.1.0.3;0.8.1.0.3.5;-2800 / 2800;1
0.8.1.0.4;0.8.1.0.4.0;-3400 / 3400;1
0.8.1.0.4;0.8.1.0.4.1;-3400 / 3400;1
0.8.1.0.4;0.8.1.0.4.2;-3400 / 3400;1
0.8.1.0.4;0.8.1.0.4.3;-3400 / 3400;1
0.8.1.0.4;0.8.1.0.4.4;-3400 / 3400;1
0.8.1.0.4;0.8.1.0.4.5;-3300 / 3300;1
0.8.1.0.5;0.8.1.0.5.0;-3400 / 3400;1
0.8.1.0.5;0.8.1.0.5.1;-3400 / 3400;1
0.8.1.0.5;0.8.1.0.5.2;-3400 / 3400;1
0.8.1.0.5;0.8.1.0.5.3;-3400 / 3400;1
0.8.1.0.5;0.8.1.0.5.4;-3400 / 3400;1
0.8.1.0.5;0.8.1.0.5.5;-3300 / 3300;1
0.8.1.0.6;0.8.1.0.6.0;-3100 / 3100;1
0.8.1.0.6;0.8.1.0.6.1;-3100 / 3100;1
0.8.1.0.6;0.8.1.0.6.2;-3100 / 3100;1
0.8.1.0.6;0.8.1.0.6.3;-3000 / 3000;1
0.8.1.0.6;0.8.1.0.6.4;-3000 / 3000;1
0.8.1.0.6;0.8.1.0.6.5;-3000 / 3000;1
0.8.1.0.7;0.8.1.0.7.0;-3300 / 3300;1
0.8.1.0.7;0.8.1.0.7.1;-3300 / 3300;1
0.8.1.0.7;0.8.1.0.7.2;-3300 / 3300;1
0.8.1.0.7;0.8.1.0.7.3;-3300 / 3300;1
0.8.1.0.7;0.8.1.0.7.4;-3300 / 3300;1
0.8.1.0.7;0.8.1.0.7.5;-3300 / 3300;1
0.8.1.0.0.0;0.8.1.0.0.0.0;-3400 / 3400;1
0.8.1.0.0.1;0.8.1.0.0.1.0;-3400 / 3400;1
0.8.1.0.0.2;0.8.1.0.0.2.0;-3400 / 3400;1
