0.2.1.0.1;0.2.1.0.1.0;41798 / 41800;0
0.2.1.0.1.0;0.2.1.0.1.0.0;-4800 / 4800;1
0.2.1.0.1.0;0.2.1.0.1.0.1;-4600 / 4600;1
0.2.1.0.1.0;0.2.1.0.1.0.2;-4800 / 4800;1
0.2.1.0.1.0;0.2.1.0.1.0.3;-5900 / 5900;1
0.2.1.0.1.0;0.2.1.0.1.0.4;-5800 / 5800;1
0.2.1.0.1.0;0.2.1.0.1.0.5;-5100 / 5100;1
0.2.1.0.1.0;0.2.1.0.1.0.6;-5298 / 5300;1
0.2.1.0.1.0;0.2.1.0.1.0.7;-5400 / 5400;1
0.2.1.0.1.0.0;0.2.1.0.1.0.0.0;-800 / 800;1
0.2.1.0.1.0.0;0.2.1.0.1.0.0.1;-800 / 800;1
0.2.1.0.1.0.0;0.2.1.0.1.0.0.2;-800 / 800;1
0.2.1.0.1.0.0;0.2.1.0.1.0.0.3;-800 / 800;1
0.2.1.0.1.0.0;0.2.1.0.1.0.0.4;-800 / 800;1
0.2.1.0.1.0.0;0.2.1.0.1.0.0.5;-800 / 800;1
0.2.1.0.1.0.1;0.2.1.0.1.0.1.0;-800 / 800;1
0.2.1.0.1.0.1;0.2.1.0.1.0.1.1;-800 / 800;1
0.2.1.0.1.0.1;0.2.1.0.1.0.1.2;-800 / 800;1
0.2.1.0.1.0.1;0.2.1.0.1.0.1.3;-800 / 800;1
0.2.1.0.1.0.1;0.2.1.0.1.0.1.4;-700 / 700;1
0.2.1.0.1.0.1;0.2.1.0.1.0.1.5;-700 / 700;1
0.2.1.0.1.0.2;0.2.1.0.1.0.2.0;-800 / 800;1
0.2.1.0.1.0.2;0.2.1.0.1.0.2.1;-800 / 800;1
0.2.1.0.1.0.2;0.2.1.0.1.0.2.2;-800 / 800;1
0.2.1.0.1.0.2;0.2.1.0.1.0.2.3;-800 / 800;1
0.2.1.0.1.0.2;0.2.1.0.1.0.2.4;-800 / 800;1
0.2.1.0.1.0.2;0.2.1.0.1.0.2.5;-800 / 800;1
0.2.1.0.1.0.3;0.2.1.0.1.0.3.0;-1000 / 1000;1
0.2.1.0.1.0.3;0.2.1.0.1.0.3.1;-1000 / 1000;1
0.2.1.0.1.0.3;0.2.1.0.1.0.3.2;-1000 / 1000;1
0.2.1.0.1.0.3;0.2.1.0.1.0.3.3;-1000 / 1000;1
0.2.1.0.1.0.3;0.2.1.0.1.0.3.4;-1000 / 1000;1
0.2.1.0.1.0.3;0.2.1.0.1.0.3.5;-900 / 900;1
0.2.1.0.1.0.4;0.2.1.0.1.0.4.0;-1000 / 1000;1
0.2.1.0.1.0.4;0.2.1.0.1.0.4.1;-1000 / 1000;1
