0.1.0.0;0.1.0.0.0;78067 / 78100;0
0.1.0.0.0;0.1.0.0.0.0;-12000 / 12000;1
0.1.0.0.0;0.1.0.0.0.1;-9700 / 9700;1
0.1.0.0.0;0.1.0.0.0.2;-11800 / 11800;1
0.1.0.0.0;0.1.0.0.0.3;-12087 / 12100;1
0.1.0.0.0;0.1.0.0.0.4;-12183 / 12200;1
0.1.0.0.0;0.1.0.0.0.5;-10297 / 10300;1
0.1.0.0.0;0.1.0.0.0.6;-9900 / 9900;1
0.1.0.0.0.0;0.1.0.0.0.0.0;-12000 / 12000;1
0.1.0.0.0.1;0.1.0.0.0.1.0;-9700 / 9700;1
0.1.0.0.0.2;0.1.0.0.0.2.0;-11800 / 11800;1
0.1.0.0.0.3;0.1.0.0.0.3.0;-12087 / 12100;1
0.1.0.0.0.4;0.1.0.0.0.4.0;-12183 / 12200;1
0.1.0.0.0.5;0.1.0.0.0.5.0;-10297 / 10300;1
0.1.0.0.0.6;0.1.0.0.0.6.0;-9900 / 9900;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.0;1800 / 1800;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.1;1600 / 1600;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.2;2000 / 2000;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.3;1200 / 1200;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.4;2100 / 2100;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.5;1800 / 1800;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.6;1400 / 1400;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.0;1800 / 1800;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.1;1600 / 1600;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.2;600 / 600;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.3;1300 / 1300;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.4;1300 / 1300;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.5;1700 / 1700;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.6;1300 / 1300;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.0;1600 / 1600;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.1;1700 / 1700;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.2;1300 / 1300;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.3;1900 / 1900;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.4;1600 / 1600;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.5;2000 / 2000;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.6;1600 / 1600;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.0;1000 / 1000;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.1;1800 / 1800;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.2;1199 / 1200;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.3;1900 / 1900;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.4;1492 / 1500;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.5;2396 / 2400;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.6;2200 / 2200;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.0;1100 / 1100;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.1;2198 / 2200;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.2;1398 / 1400;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.3;2300 / 2300;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.4;1692 / 1700;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.5;1895 / 1900;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.6;1500 / 1500;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.0;1600 / 1600;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.1;900 / 900;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.2;1400 / 1400;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.3;1200 / 1200;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.4;2097 / 2100;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.5;1500 / 1500;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.6;1500 / 1500;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.0;1500 / 1500;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.1;1900 / 1900;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.2;1100 / 1100;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.3;1200 / 1200;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.4;1500 / 1500;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.5;1700 / 1700;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.6;900 / 900;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.0;300 / 300;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.1;300 / 300;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.2;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.3;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.4;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.5;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.6;200 / 200;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.7;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.0;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.1;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.2;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.3;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.4;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.5;200 / 200;0
