0.6.2.2;0.6.2.2.0;139494 / 139500;0
0.6.2.2.0;0.6.2.2.0.0;-16399 / 16400;1
0.6.2.2.0;0.6.2.2.0.1;-14699 / 14700;1
0.6.2.2.0;0.6.2.2.0.2;-16200 / 16200;1
0.6.2.2.0;0.6.2.2.0.3;-16500 / 16500;1
0.6.2.2.0;0.6.2.2.0.4;-14100 / 14100;1
0.6.2.2.0;0.6.2.2.0.5;-15898 / 15900;1
0.6.2.2.0;0.6.2.2.0.6;-14100 / 14100;1
0.6.2.2.0;0.6.2.2.0.7;-15900 / 15900;1
0.6.2.2.0;0.6.2.2.0.8;-15598 / 15600;1
0.6.2.2.0.0;0.6.2.2.0.0.0;-2800 / 2800;1
0.6.2.2.0.0;0.6.2.2.0.0.1;-2700 / 2700;1
0.6.2.2.0.0;0.6.2.2.0.0.2;-2700 / 2700;1
0.6.2.2.0.0;0.6.2.2.0.0.3;-2700 / 2700;1
0.6.2.2.0.0;0.6.2.2.0.0.4;-2799 / 2800;1
0.6.2.2.0.0;0.6.2.2.0.0.5;-2700 / 2700;1
0.6.2.2.0.1;0.6.2.2.0.1.0;-2500 / 2500;1
0.6.2.2.0.1;0.6.2.2.0.1.1;-2500 / 2500;1
0.6.2.2.0.1;0.6.2.2.0.1.2;-2400 / 2400;1
0.6.2.2.0.1;0.6.2.2.0.1.3;-2499 / 2500;1
0.6.2.2.0.1;0.6.2.2.0.1.4;-2400 / 2400;1
0.6.2.2.0.1;0.6.2.2.0.1.5;-2400 / 2400;1
0.6.2.2.0.2;0.6.2.2.0.2.0;-2700 / 2700;1
0.6.2.2.0.2;0.6.2.2.0.2.1;-2700 / 2700;1
0.6.2.2.0.2;0.6.2.2.0.2.2;-2700 / 2700;1
0.6.2.2.0.2;0.6.2.2.0.2.3;-2700 / 2700;1
0.6.2.2.0.2;0.6.2.2.0.2.4;-2700 / 2700;1
0.6.2.2.0.2;0.6.2.2.0.2.5;-2700 / 2700;1
0.6.2.2.0.3;0.6.2.2.0.3.0;-2800 / 2800;1
0.6.2.2.0.3;0.6.2.2.0.3.1;-2800 / 2800;1
0.6.2.2.0.3;0.6.2.2.0.3.2;-2800 / 2800;1
0.6.2.2.0.3;0.6.2.2.0.3.3;-2700 / 2700;1
0.6.2.2.0.3;0.6.2.2.0.3.4;-2700 / 2700;1
0.6.2.2.0.3;0.6.2.2.0.3.5;-2700 / 2700;1
0.6.2.2.0.4;0.6.2.2.0.4.0;-2400 / 2400;1
0.6.2.2.0.4;0.6.2.2.0.4.1;-2400 / 2400;1
0.6.2.2.0.4;0.6.2.2.0.4.2;-2400 / 2400;1
0.6.2.2.0.4;0.6.2.2.0.4.3;-2300 / 2300;1
0.6.2.2.0.4;0.6.2.2.0.4.4;-2300 / 2300;1
0.6.2.2.0.4;0.6.2.2.0.4.5;-2300 / 2300;1
0.6.2.2.0.5;0.6.2.2.0.5.0;-2700 / 2700;1
0.6.2.2.0.5;0.6.2.2.0.5.1;-2600 / 2600;1
0.6.2.2.0.5;0.6.2.2.0.5.2;-2600 / 2600;1
0.6.2.2.0.5;0.6.2.2.0.5.3;-2600 / 2600;1
0.6.2.2.0.5;0.6.2.2.0.5.4;-2699 / 2700;1
0.6.2.2.0.5;0.6.2.2.0.5.5;-2699 / 2700;1
0.6.2.2.0.6;0.6.2.2.0.6.0;-2400 / 2400;1
0.6.2.2.0.6;0.6.2.2.0.6.1;-2400 / 2400;1
0.6.2.2.0.6;0.6.2.2.0.6.2;-2400 / 2400;1
0.6.2.2.0.6;0.6.2.2.0.6.3;-2300 / 2300;1
0.6.2.2.0.6;0.6.2.2.0.6.4;-2300 / 2300;1
0.6.2.2.0.6;0.6.2.2.0.6.5;-2300 / 2300;1
0.6.2.2.0.7;0.6.2.2.0.7.0;-2700 / 2700;1
0.6.2.2.0.7;0.6.2.2.0.7.1;-2700 / 2700;1
0.6.2.2.0.7;0.6.2.2.0.7.2;-2700 / 2700;1
0.6.2.2.0.7;0.6.2.2.0.7.3;-2600 / 2600;1
0.6.2.2.0.7;0.6.2.2.0.7.4;-2600 / 2600;1
0.6.2.2.0.7;0.6.2.2.0.7.5;-2600 / 2600;1
0.6.2.2.0.8;0.6.2.2.0.8.0;-2600 / 2600;1
0.6.2.2.0.8;0.6.2.2.0.8.1;-2600 / 2600;1
