0.3.1;0.3.1.0;66089 / 66600;0
0.3.1.0;0.3.1.0.0;-12099 / 12100;1
0.3.1.0;0.3.1.0.1;-11000 / 11000;1
0.3.1.0;0.3.1.0.2;-10200 / 10400;1
0.3.1.0;0.3.1.0.3;-12011 / 12300;1
0.3.1.0;0.3.1.0.4;-10600 / 10600;1
0.3.1.0;0.3.1.0.5;-10079 / 10100;1
0.3.1.0.0;0.3.1.0.0.0;-12099 / 12100;1
0.3.1.0.1;0.3.1.0.1.0;-11000 / 11000;1
0.3.1.0.2;0.3.1.0.2.0;-10200 / 10400;1
0.3.1.0.3;0.3.1.0.3.0;-12011 / 12300;1
0.3.1.0.4;0.3.1.0.4.0;-10600 / 10600;1
0.3.1.0.5;0.3.1.0.5.0;-10079 / 10100;1
0.3.1.0.0.0;0.3.1.0.0.0.0;3099 / 3100;0
0.3.1.0.0.0;0.3.1.0.0.0.1;1500 / 1500;0
0.3.1.0.0.0;0.3.1.0.0.0.2;2200 / 2200;0
0.3.1.0.0.0;0.3.1.0.0.0.3;2100 / 2100;0
0.3.1.0.0.0;0.3.1.0.0.0.4;1700 / 1700;0
0.3.1.0.0.0;0.3.1.0.0.0.5;1400 / 1400;0
0.3.1.0.1.0;0.3.1.0.1.0.0;2200 / 2200;0
0.3.1.0.1.0;0.3.1.0.1.0.1;1700 / 1700;0
0.3.1.0.1.0;0.3.1.0.1.0.2;2400 / 2400;0
0.3.1.0.1.0;0.3.1.0.1.0.3;2100 / 2100;0
0.3.1.0.1.0;0.3.1.0.1.0.4;1300 / 1300;0
0.3.1.0.1.0;0.3.1.0.1.0.5;1200 / 1200;0
0.3.1.0.2.0;0.3.1.0.2.0.0;2173 / 2200;0
0.3.1.0.2.0;0.3.1.0.2.0.1;882 / 900;0
0.3.1.0.2.0;0.3.1.0.2.0.2;1199 / 1200;0
0.3.1.0.2.0;0.3.1.0.2.0.3;2611 / 2700;0
0.3.1.0.2.0;0.3.1.0.2.0.4;1174 / 1200;0
0.3.1.0.2.0;0.3.1.0.2.0.5;2076 / 2100;0
0.3.1.0.3.0;0.3.1.0.3.0.0;2330 / 2400;0
0.3.1.0.3.0;0.3.1.0.3.0.1;2130 / 2200;0
0.3.1.0.3.0;0.3.1.0.3.0.2;1596 / 1600;0
0.3.1.0.3.0;0.3.1.0.3.0.3;1728 / 1800;0
0.3.1.0.3.0;0.3.1.0.3.0.4;2345 / 2400;0
0.3.1.0.3.0;0.3.1.0.3.0.5;1797 / 1800;0
0.3.1.0.4.0;0.3.1.0.4.0.0;1700 / 1700;0
0.3.1.0.4.0;0.3.1.0.4.0.1;1800 / 1800;0
0.3.1.0.4.0;0.3.1.0.4.0.2;2200 / 2200;0
0.3.1.0.4.0;0.3.1.0.4.0.3;1700 / 1700;0
0.3.1.0.4.0;0.3.1.0.4.0.4;1800 / 1800;0
0.3.1.0.4.0;0.3.1.0.4.0.5;1300 / 1300;0
0.3.1.0.5.0;0.3.1.0.5.0.0;1700 / 1700;0
0.3.1.0.5.0;0.3.1.0.5.0.1;2286 / 2300;0
0.3.1.0.5.0;0.3.1.0.5.0.2;1400 / 1400;0
0.3.1.0.5.0;0.3.1.0.5.0.3;1393 / 1400;0
0.3.1.0.5.0;0.3.1.0.5.0.4;1800 / 1800;0
0.3.1.0.5.0;0.3.1.0.5.0.5;1400 / 1400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.0;400 / 400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.1;400 / 400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.2;400 / 400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.3;400 / 400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.4;400 / 400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.5;400 / 400;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.6;299 / 300;0
0.3.1.0.0.0.0;0.3.1.0.0.0.0.7;400 / 400;0
0.3.1.0.0.0.1;0.3.1.0.0.0.1.0;200 / 200;0
0.3.1.0.0.0.1;0.3.1.0.0.0.1.1;200 / 200;0
