0.0.0.0.0;0.0.0.0.0.0;139500 / 139500;0
0.0.0.0.0.0;0.0.0.0.0.0.0;-139400 / 139400;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-11700 / 11700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.1;-11700 / 11700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.2;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.3;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.4;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.5;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.6;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.7;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.8;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.9;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.10;-11600 / 11600;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.11;-11600 / 11600;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;-2000 / 2000;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.1;-2000 / 2000;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.2;-1900 / 1900;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.3;-1900 / 1900;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.4;-1900 / 1900;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.5;-1900 / 1900;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.0;-2400 / 2400;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.1;-2300 / 2300;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.2;-2300 / 2300;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.3;-2300 / 2300;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.4;-2300 / 2300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.0;-2300 / 2300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.1;-2300 / 2300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.2;-2300 / 2300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.3;-2300 / 2300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.4;-2300 / 2300;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.0;-2000 / 2000;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.1;-1900 / 1900;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.2;-1900 / 1900;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.3;-1900 / 1900;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.4;-1900 / 1900;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.5;-1900 / 1900;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.0;-2300 / 2300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.1;-2300 / 2300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.2;-2300 / 2300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.3;-2300 / 2300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.4;-2300 / 2300;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.0;-2000 / 2000;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.1;-1900 / 1900;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.2;-1900 / 1900;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.3;-1900 / 1900;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.4;-1900 / 1900;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.5;-1900 / 1900;1
0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.6.0;11500 / 11500;0
0.0.0.0.0.0.0.7;0.0.0.0.0.0.0.7.0;11500 / 11500;0
0.0.0.0.0.0.0.8;0.0.0.0.0.0.0.8.0;11500 / 11500;0
0.0.0.0.0.0.0.9;0.0.0.0.0.0.0.9.0;11500 / 11500;0
0.0.0.0.0.0.0.10;0.0.0.0.0.0.0.10.0;11500 / 11500;0
0.0.0.0.0.0.0.11;0.0.0.0.0.0.0.11.0;11500 / 11500;0
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.0;1900 / 1900;0
0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.1.0;1900 / 1900;0
0.0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.0.2.0;1800 / 1800;0
0.0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.0.3.0;1800 / 1800;0
0.0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.0.4.0;1800 / 1800;0
0.0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.0.5.0;1800 / 1800;0
0.0.0.0.0.0.0.1.0;0.0.0.0.0.0.0.1.0.0;2300 / 2300;0
0.0.0.0.0.0.0.1.1;0.0.0.0.0.0.0.1.1.0;2200 / 2200;0
0.0.0.0.0.0.0.1.2;0.0.0.0.0.0.0.1.2.0;2200 / 2200;0
0.0.0.0.0.0.0.1.3;0.0.0.0.0.0.0.1.3.0;2200 / 2200;0
0.0.0.0.0.0.0.1.4;0.0.0.0.0.0.0.1.4.0;2200 / 2200;0
0.0.0.0.0.0.0.2.0;0.0.0.0.0.0.0.2.0.0;2200 / 2200;0
0.0.0.0.0.0.0.2.1;0.0.0.0.0.0.0.2.1.0;2200 / 2200;0
0.0.0.0.0.0.0.2.2;0.0.0.0.0.0.0.2.2.0;2200 / 2200;0
0.0.0.0.0.0.0.2.3;0.0.0.0.0.0.0.2.3.0;2200 / 2200;0
0.0.0.0.0.0.0.2.4;0.0.0.0.0.0.0.2.4.0;2200 / 2200;0
0.0.0.0.0.0.0.3.0;0.0.0.0.0.0.0.3.0.0;1900 / 1900;0
0.0.0.0.0.0.0.3.1;0.0.0.0.0.0.0.3.1.0;1800 / 1800;0
0.0.0.0.0.0.0.3.2;0.0.0.0.0.0.0.3.2.0;1800 / 1800;0
0.0.0.0.0.0.0.3.3;0.0.0.0.0.0.0.3.3.0;1800 / 1800;0
0.0.0.0.0.0.0.3.4;0.0.0.0.0.0.0.3.4.0;1800 / 1800;0
0.0.0.0.0.0.0.3.5;0.0.0.0.0.0.0.3.5.0;1800 / 1800;0
0.0.0.0.0.0.0.4.0;0.0.0.0.0.0.0.4.0.0;2200 / 2200;0
0.0.0.0.0.0.0.4.1;0.0.0.0.0.0.0.4.1.0;2200 / 2200;0
0.0.0.0.0.0.0.4.2;0.0.0.0.0.0.0.4.2.0;2200 / 2200;0
0.0.0.0.0.0.0.4.3;0.0.0.0.0.0.0.4.3.0;2200 / 2200;0
0.0.0.0.0.0.0.4.4;0.0.0.0.0.0.0.4.4.0;2200 / 2200;0
0.0.0.0.0.0.0.5.0;0.0.0.0.0.0.0.5.0.0;1900 / 1900;0
0.0.0.0.0.0.0.5.1;0.0.0.0.0.0.0.5.1.0;1800 / 1800;0
0.0.0.0.0.0.0.5.2;0.0.0.0.0.0.0.5.2.0;1800 / 1800;0
0.0.0.0.0.0.0.5.3;0.0.0.0.0.0.0.5.3.0;1800 / 1800;0
0.0.0.0.0.0.0.5.4;0.0.0.0.0.0.0.5.4.0;1800 / 1800;0
0.0.0.0.0.0.0.5.5;0.0.0.0.0.0.0.5.5.0;1800 / 1800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.0;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.1;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.2;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.3;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.4;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.5;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.6;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.7;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.8;800 / 800;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.9;700 / 700;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.10;700 / 700;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.11;700 / 700;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.12;700 / 700;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.13;700 / 700;0
0.0.0.0.0.0.0.6.0;0.0.0.0.0.0.0.6.0.14;700 / 700;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.0;1000 / 1000;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.1;1000 / 1000;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.2;1000 / 1000;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.3;1000 / 1000;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.4;1000 / 1000;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.5;1000 / 1000;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.6;900 / 900;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.7;900 / 900;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.8;900 / 900;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.9;900 / 900;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.10;900 / 900;0
0.0.0.0.0.0.0.7.0;0.0.0.0.0.0.0.7.0.11;900 / 900;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.0;1000 / 1000;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.1;1000 / 1000;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.2;1000 / 1000;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.3;1000 / 1000;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.4;1000 / 1000;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.5;1000 / 1000;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.6;900 / 900;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.7;900 / 900;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.8;900 / 900;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.9;900 / 900;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.10;900 / 900;0
0.0.0.0.0.0.0.8.0;0.0.0.0.0.0.0.8.0.11;900 / 900;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.0;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.1;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.2;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.3;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.4;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.5;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.6;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.7;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.8;800 / 800;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.9;700 / 700;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.10;700 / 700;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.11;700 / 700;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.12;700 / 700;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.13;700 / 700;0
0.0.0.0.0.0.0.9.0;0.0.0.0.0.0.0.9.0.14;700 / 700;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.0;1000 / 1000;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.1;1000 / 1000;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.2;1000 / 1000;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.3;1000 / 1000;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.4;1000 / 1000;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.5;1000 / 1000;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.6;900 / 900;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.7;900 / 900;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.8;900 / 900;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.9;900 / 900;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.10;900 / 900;0
0.0.0.0.0.0.0.10.0;0.0.0.0.0.0.0.10.0.11;900 / 900;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.0;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.1;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.2;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.3;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.4;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.5;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.6;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.7;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.8;800 / 800;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.9;700 / 700;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.10;700 / 700;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.11;700 / 700;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.12;700 / 700;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.13;700 / 700;0
0.0.0.0.0.0.0.11.0;0.0.0.0.0.0.0.11.0.14;700 / 700;0
