0.3.2;0.3.2.0;4928 / 46300;0
0.3.2.0;0.3.2.0.0;-1514 / 13200;1
0.3.2.0;0.3.2.0.1;-1621 / 16000;1
0.3.2.0;0.3.2.0.2;-1758 / 17000;1
0.3.2.0.0;0.3.2.0.0.0;-6 / 8500;1
0.3.2.0.0;0.3.2.0.0.1;-463 / 1000;1
0.3.2.0.0;0.3.2.0.0.2;-517 / 2300;1
0.3.2.0.0;0.3.2.0.0.3;-528 / 1400;1
0.3.2.0.1;0.3.2.0.1.0;-9 / 10500;1
0.3.2.0.1;0.3.2.0.1.1;-507 / 900;1
0.3.2.0.1;0.3.2.0.1.2;-555 / 3400;1
0.3.2.0.1;0.3.2.0.1.3;-550 / 1200;1
0.3.2.0.2;0.3.2.0.2.0;-6 / 12100;1
0.3.2.0.2;0.3.2.0.2.1;-551 / 1200;1
0.3.2.0.2;0.3.2.0.2.2;-614 / 2400;1
0.3.2.0.2;0.3.2.0.2.3;-587 / 1300;1
0.3.2.0.0.0;0.3.2.0.0.0.0;-6 / 8400;1
0.3.2.0.0.1;0.3.2.0.0.1.0;-457 / 900;1
0.3.2.0.0.2;0.3.2.0.0.2.0;-517 / 2200;1
0.3.2.0.0.3;0.3.2.0.0.3.0;-524 / 1300;1
0.3.2.0.1.0;0.3.2.0.1.0.0;-9 / 10400;1
0.3.2.0.1.1;0.3.2.0.1.1.0;-500 / 800;1
0.3.2.0.1.2;0.3.2.0.1.2.0;-555 / 3300;1
0.3.2.0.1.3;0.3.2.0.1.3.0;-547 / 1100;1
0.3.2.0.2.0;0.3.2.0.2.0.0;-6 / 12000;1
0.3.2.0.2.1;0.3.2.0.2.1.0;-546 / 1100;1
0.3.2.0.2.2;0.3.2.0.2.2.0;-614 / 2300;1
0.3.2.0.2.3;0.3.2.0.2.3.0;-584 / 1200;1
0.3.2.0.0.0.0;0.3.2.0.0.0.0.0;0 / 2900;0
0.3.2.0.0.0.0;0.3.2.0.0.0.0.1;4 / 2600;0
0.3.2.0.0.0.0;0.3.2.0.0.0.0.2;2 / 2800;0
0.3.2.0.0.1.0;0.3.2.0.0.1.0.0;196 / 400;0
0.3.2.0.0.1.0;0.3.2.0.0.1.0.1;38 / 100;0
0.3.2.0.0.1.0;0.3.2.0.0.1.0.2;220 / 300;0
0.3.2.0.0.2.0;0.3.2.0.0.2.0.0;107 / 800;0
0.3.2.0.0.2.0;0.3.2.0.0.2.0.1;184 / 800;0
0.3.2.0.0.2.0;0.3.2.0.0.2.0.2;226 / 500;0
0.3.2.0.0.3.0;0.3.2.0.0.3.0.0;189 / 500;0
0.3.2.0.0.3.0;0.3.2.0.0.3.0.1;146 / 400;0
0.3.2.0.0.3.0;0.3.2.0.0.3.0.2;187 / 300;0
0.3.2.0.1.0.0;0.3.2.0.1.0.0.0;2 / 3400;0
0.3.2.0.1.0.0;0.3.2.0.1.0.0.1;4 / 3800;0
0.3.2.0.1.0.0;0.3.2.0.1.0.0.2;3 / 3100;0
0.3.2.0.1.1.0;0.3.2.0.1.1.0.0;54 / 100;0
0.3.2.0.1.1.0;0.3.2.0.1.1.0.1;203 / 300;0
0.3.2.0.1.1.0;0.3.2.0.1.1.0.2;241 / 300;0
0.3.2.0.1.2.0;0.3.2.0.1.2.0.0;83 / 800;0
0.3.2.0.1.2.0;0.3.2.0.1.2.0.1;142 / 1700;0
0.3.2.0.1.2.0;0.3.2.0.1.2.0.2;330 / 700;0
0.3.2.0.1.3.0;0.3.2.0.1.3.0.0;111 / 300;0
0.3.2.0.1.3.0;0.3.2.0.1.3.0.1;65 / 200;0
0.3.2.0.1.3.0;0.3.2.0.1.3.0.2;370 / 500;0
0.3.2.0.2.0.0;0.3.2.0.2.0.0.0;1 / 4400;0
0.3.2.0.2.0.0;0.3.2.0.2.0.0.1;2 / 4200;0
0.3.2.0.2.0.0;0.3.2.0.2.0.0.2;3 / 3300;0
0.3.2.0.2.1.0;0.3.2.0.2.1.0.0;31 / 100;0
0.3.2.0.2.1.0;0.3.2.0.2.1.0.1;243 / 500;0
0.3.2.0.2.1.0;0.3.2.0.2.1.0.2;267 / 400;0
0.3.2.0.2.2.0;0.3.2.0.2.2.0.0;129 / 700;0
0.3.2.0.2.2.0;0.3.2.0.2.2.0.1;220 / 1000;0
0.3.2.0.2.2.0;0.3.2.0.2.2.0.2;264 / 500;0
0.3.2.0.2.3.0;0.3.2.0.2.3.0.0;55 / 200;0
0.3.2.0.2.3.0;0.3.2.0.2.3.0.1;124 / 300;0
0.3.2.0.2.3.0;0.3.2.0.2.3.0.2;398 / 600;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.0;0 / 400;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.1;0 / 400;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.2;0 / 300;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.3;0 / 300;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.4;0 / 300;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.5;0 / 300;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.6;0 / 300;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.7;0 / 300;0
0.3.2.0.0.0.0.0;0.3.2.0.0.0.0.0.8;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.0;4 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.1;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.2;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.3;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.4;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.5;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.6;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.7;0 / 300;0
0.3.2.0.0.0.0.1;0.3.2.0.0.0.0.1.8;0 / 200;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.0;2 / 400;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.1;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.2;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.3;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.4;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.5;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.6;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.7;0 / 300;0
0.3.2.0.0.0.0.2;0.3.2.0.0.0.0.2.8;0 / 300;0
0.3.2.0.0.1.0.0;0.3.2.0.0.1.0.0.0;29 / 100;0
0.3.2.0.0.1.0.0;0.3.2.0.0.1.0.0.1;88 / 100;0
0.3.2.0.0.1.0.0;0.3.2.0.0.1.0.0.2;71 / 100;0
0.3.2.0.0.1.0.0;0.3.2.0.0.1.0.0.3;8 / 100;0
0.3.2.0.0.1.0.1;0.3.2.0.0.1.0.1.0;38 / 100;0
0.3.2.0.0.1.0.2;0.3.2.0.0.1.0.2.0;48 / 100;0
0.3.2.0.0.1.0.2;0.3.2.0.0.1.0.2.1;89 / 100;0
0.3.2.0.0.1.0.2;0.3.2.0.0.1.0.2.2;83 / 100;0
0.3.2.0.0.2.0.0;0.3.2.0.0.2.0.0.0;2 / 100;0
0.3.2.0.0.2.0.0;0.3.2.0.0.2.0.0.1;36 / 200;0
0.3.2.0.0.2.0.0;0.3.2.0.0.2.0.0.2;40 / 200;0
0.3.2.0.0.2.0.0;0.3.2.0.0.2.0.0.3;1 / 100;0
0.3.2.0.0.2.0.0;0.3.2.0.0.2.0.0.4;12 / 100;0
0.3.2.0.0.2.0.0;0.3.2.0.0.2.0.0.5;16 / 100;0
0.3.2.0.0.2.0.1;0.3.2.0.0.2.0.1.0;4 / 100;0
0.3.2.0.0.2.0.1;0.3.2.0.0.2.0.1.1;28 / 100;0
0.3.2.0.0.2.0.1;0.3.2.0.0.2.0.1.2;71 / 200;0
0.3.2.0.0.2.0.1;0.3.2.0.0.2.0.1.3;7 / 100;0
0.3.2.0.0.2.0.1;0.3.2.0.0.2.0.1.4;7 / 100;0
