0.0.0.0.0;0.0.0.0.0.0;41800 / 41800;0
0.0.0.0.0.0;0.0.0.0.0.0.0;-20400 / 20400;1
0.0.0.0.0.0;0.0.0.0.0.0.1;-21300 / 21300;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.1;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.2;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.3;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.4;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.5;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.6;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.7;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.8;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.9;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.10;-1700 / 1700;1
0.0.0.0.0.0.0;0.0.0.0.0.0.0.11;-1700 / 1700;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.0;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.1;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.2;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.3;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.4;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.5;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.6;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.7;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.8;-1800 / 1800;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.9;-1700 / 1700;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.10;-1700 / 1700;1
0.0.0.0.0.0.1;0.0.0.0.0.0.1.11;-1700 / 1700;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;-300 / 300;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.1;-300 / 300;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.2;-300 / 300;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.3;-300 / 300;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.4;-200 / 200;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.5;-200 / 200;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.0;-400 / 400;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.1;-300 / 300;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.2;-300 / 300;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.3;-300 / 300;1
0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.1.4;-300 / 300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.0;-400 / 400;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.1;-300 / 300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.2;-300 / 300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.3;-300 / 300;1
0.0.0.0.0.0.0.2;0.0.0.0.0.0.0.2.4;-300 / 300;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.0;-400 / 400;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.1;-300 / 300;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.2;-300 / 300;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.3;-300 / 300;1
0.0.0.0.0.0.0.3;0.0.0.0.0.0.0.3.4;-300 / 300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.0;-400 / 400;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.1;-300 / 300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.2;-300 / 300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.3;-300 / 300;1
0.0.0.0.0.0.0.4;0.0.0.0.0.0.0.4.4;-300 / 300;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.0;-300 / 300;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.1;-300 / 300;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.2;-300 / 300;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.3;-300 / 300;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.4;-200 / 200;1
0.0.0.0.0.0.0.5;0.0.0.0.0.0.0.5.5;-200 / 200;1
0.0.0.0.0.0.0.6;0.0.0.0.0.0.0.6.0;-1600 / 1600;1
0.0.0.0.0.0.0.7;0.0.0.0.0.0.0.7.0;-1600 / 1600;1
0.0.0.0.0.0.0.8;0.0.0.0.0.0.0.8.0;-1600 / 1600;1
0.0.0.0.0.0.0.9;0.0.0.0.0.0.0.9.0;-1600 / 1600;1
0.0.0.0.0.0.0.10;0.0.0.0.0.0.0.10.0;-1600 / 1600;1
0.0.0.0.0.0.0.11;0.0.0.0.0.0.0.11.0;-1600 / 1600;1
0.0.0.0.0.0.1.0;0.0.0.0.0.0.1.0.0;-300 / 300;1
