0.0.0.2.0.0;0.0.0.2.0.0.0;41700 / 41700;0
0.0.0.2.0.0.0;0.0.0.2.0.0.0.0;-4600 / 4600;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.1;-5100 / 5100;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.2;-5200 / 5200;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.3;-5900 / 5900;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.4;-5100 / 5100;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.5;-5100 / 5100;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.6;-5400 / 5400;1
0.0.0.2.0.0.0;0.0.0.2.0.0.0.7;-5200 / 5200;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.0;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.1;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.2;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.3;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.4;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.5;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.6;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.7;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.8;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.9;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.10;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.11;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.12;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.13;-300 / 300;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.14;-200 / 200;1
0.0.0.2.0.0.0.0;0.0.0.2.0.0.0.0.15;-200 / 200;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.0;-400 / 400;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.1;-400 / 400;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.2;-400 / 400;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.3;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.4;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.5;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.6;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.7;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.8;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.9;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.10;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.11;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.12;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.13;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.14;-300 / 300;1
0.0.0.2.0.0.0.1;0.0.0.2.0.0.0.1.15;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.0;-400 / 400;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.1;-400 / 400;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.2;-400 / 400;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.3;-400 / 400;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.4;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.5;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.6;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.7;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.8;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.9;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.10;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.11;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.12;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.13;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.14;-300 / 300;1
0.0.0.2.0.0.0.2;0.0.0.2.0.0.0.2.15;-300 / 300;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.0;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.1;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.2;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.3;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.4;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.5;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.6;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.7;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.8;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.9;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.10;-400 / 400;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.11;-300 / 300;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.12;-300 / 300;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.13;-300 / 300;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.14;-300 / 300;1
0.0.0.2.0.0.0.3;0.0.0.2.0.0.0.3.15;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.0;-400 / 400;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.1;-400 / 400;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.2;-400 / 400;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.3;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.4;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.5;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.6;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.7;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.8;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.9;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.10;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.11;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.12;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.13;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.14;-300 / 300;1
0.0.0.2.0.0.0.4;0.0.0.2.0.0.0.4.15;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.0;-400 / 400;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.1;-400 / 400;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.2;-400 / 400;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.3;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.4;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.5;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.6;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.7;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.8;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.9;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.10;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.11;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.12;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.13;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.14;-300 / 300;1
0.0.0.2.0.0.0.5;0.0.0.2.0.0.0.5.15;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.0;-400 / 400;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.1;-400 / 400;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.2;-400 / 400;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.3;-400 / 400;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.4;-400 / 400;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.5;-400 / 400;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.6;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.7;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.8;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.9;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.10;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.11;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.12;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.13;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.14;-300 / 300;1
0.0.0.2.0.0.0.6;0.0.0.2.0.0.0.6.15;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.0;-400 / 400;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.1;-400 / 400;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.2;-400 / 400;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.3;-400 / 400;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.4;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.5;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.6;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.7;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.8;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.9;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.10;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.11;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.12;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.13;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.14;-300 / 300;1
0.0.0.2.0.0.0.7;0.0.0.2.0.0.0.7.15;-300 / 300;1
0.0.0.2.0.0.0.0.0;0.0.0.2.0.0.0.0.0.0;-100 / 100;1
0.0.0.2.0.0.0.0.0;0.0.0.2.0.0.0.0.0.1;-100 / 100;1
0.0.0.2.0.0.0.0.1;0.0.0.2.0.0.0.0.1.0;-100 / 100;1
0.0.0.2.0.0.0.0.1;0.0.0.2.0.0.0.0.1.1;-100 / 100;1
0.0.0.2.0.0.0.0.2;0.0.0.2.0.0.0.0.2.0;-100 / 100;1
0.0.0.2.0.0.0.0.2;0.0.0.2.0.0.0.0.2.1;-100 / 100;1
0.0.0.2.0.0.0.0.3;0.0.0.2.0.0.0.0.3.0;-100 / 100;1
0.0.0.2.0.0.0.0.3;0.0.0.2.0.0.0.0.3.1;-100 / 100;1
0.0.0.2.0.0.0.0.4;0.0.0.2.0.0.0.0.4.0;-100 / 100;1
0.0.0.2.0.0.0.0.4;0.0.0.2.0.0.0.0.4.1;-100 / 100;1
0.0.0.2.0.0.0.0.5;0.0.0.2.0.0.0.0.5.0;-100 / 100;1
0.0.0.2.0.0.0.0.5;0.0.0.2.0.0.0.0.5.1;-100 / 100;1
0.0.0.2.0.0.0.0.6;0.0.0.2.0.0.0.0.6.0;-100 / 100;1
0.0.0.2.0.0.0.0.6;0.0.0.2.0.0.0.0.6.1;-100 / 100;1
0.0.0.2.0.0.0.0.7;0.0.0.2.0.0.0.0.7.0;-100 / 100;1
0.0.0.2.0.0.0.0.7;0.0.0.2.0.0.0.0.7.1;-100 / 100;1
0.0.0.2.0.0.0.0.8;0.0.0.2.0.0.0.0.8.0;-200 / 200;1
0.0.0.2.0.0.0.0.9;0.0.0.2.0.0.0.0.9.0;-200 / 200;1
0.0.0.2.0.0.0.0.10;0.0.0.2.0.0.0.0.10.0;-200 / 200;1
0.0.0.2.0.0.0.0.11;0.0.0.2.0.0.0.0.11.0;-200 / 200;1
0.0.0.2.0.0.0.0.12;0.0.0.2.0.0.0.0.12.0;-200 / 200;1
0.0.0.2.0.0.0.0.13;0.0.0.2.0.0.0.0.13.0;-200 / 200;1
0.0.0.2.0.0.0.0.14;0.0.0.2.0.0.0.0.14.0;-100 / 100;1
0.0.0.2.0.0.0.0.15;0.0.0.2.0.0.0.0.15.0;-100 / 100;1
0.0.0.2.0.0.0.1.0;0.0.0.2.0.0.0.1.0.0;-100 / 100;1
0.0.0.2.0.0.0.1.0;0.0.0.2.0.0.0.1.0.1;-100 / 100;1
0.0.0.2.0.0.0.1.0;0.0.0.2.0.0.0.1.0.2;-100 / 100;1
0.0.0.2.0.0.0.1.1;0.0.0.2.0.0.0.1.1.0;-100 / 100;1
0.0.0.2.0.0.0.1.1;0.0.0.2.0.0.0.1.1.1;-100 / 100;1
0.0.0.2.0.0.0.1.1;0.0.0.2.0.0.0.1.1.2;-100 / 100;1
0.0.0.2.0.0.0.1.2;0.0.0.2.0.0.0.1.2.0;-100 / 100;1
0.0.0.2.0.0.0.1.2;0.0.0.2.0.0.0.1.2.1;-100 / 100;1
0.0.0.2.0.0.0.1.2;0.0.0.2.0.0.0.1.2.2;-100 / 100;1
0.0.0.2.0.0.0.1.3;0.0.0.2.0.0.0.1.3.0;-100 / 100;1
0.0.0.2.0.0.0.1.3;0.0.0.2.0.0.0.1.3.1;-100 / 100;1
0.0.0.2.0.0.0.1.4;0.0.0.2.0.0.0.1.4.0;-100 / 100;1
0.0.0.2.0.0.0.1.4;0.0.0.2.0.0.0.1.4.1;-100 / 100;1
0.0.0.2.0.0.0.1.5;0.0.0.2.0.0.0.1.5.0;-100 / 100;1
0.0.0.2.0.0.0.1.5;0.0.0.2.0.0.0.1.5.1;-100 / 100;1
0.0.0.2.0.0.0.1.6;0.0.0.2.0.0.0.1.6.0;-100 / 100;1
0.0.0.2.0.0.0.1.6;0.0.0.2.0.0.0.1.6.1;-100 / 100;1
0.0.0.2.0.0.0.1.7;0.0.0.2.0.0.0.1.7.0;-100 / 100;1
0.0.0.2.0.0.0.1.7;0.0.0.2.0.0.0.1.7.1;-100 / 100;1
0.0.0.2.0.0.0.1.8;0.0.0.2.0.0.0.1.8.0;-200 / 200;1
0.0.0.2.0.0.0.1.9;0.0.0.2.0.0.0.1.9.0;-200 / 200;1
0.0.0.2.0.0.0.1.10;0.0.0.2.0.0.0.1.10.0;-200 / 200;1
0.0.0.2.0.0.0.1.11;0.0.0.2.0.0.0.1.11.0;-200 / 200;1
0.0.0.2.0.0.0.1.12;0.0.0.2.0.0.0.1.12.0;-200 / 200;1
0.0.0.2.0.0.0.1.13;0.0.0.2.0.0.0.1.13.0;-200 / 200;1
0.0.0.2.0.0.0.1.14;0.0.0.2.0.0.0.1.14.0;-200 / 200;1
0.0.0.2.0.0.0.1.15;0.0.0.2.0.0.0.1.15.0;-200 / 200;1
0.0.0.2.0.0.0.2.0;0.0.0.2.0.0.0.2.0.0;-100 / 100;1
0.0.0.2.0.0.0.2.0;0.0.0.2.0.0.0.2.0.1;-100 / 100;1
0.0.0.2.0.0.0.2.0;0.0.0.2.0.0.0.2.0.2;-100 / 100;1
0.0.0.2.0.0.0.2.1;0.0.0.2.0.0.0.2.1.0;-100 / 100;1
0.0.0.2.0.0.0.2.1;0.0.0.2.0.0.0.2.1.1;-100 / 100;1
0.0.0.2.0.0.0.2.1;0.0.0.2.0.0.0.2.1.2;-100 / 100;1
0.0.0.2.0.0.0.2.2;0.0.0.2.0.0.0.2.2.0;-100 / 100;1
0.0.0.2.0.0.0.2.2;0.0.0.2.0.0.0.2.2.1;-100 / 100;1
0.0.0.2.0.0.0.2.2;0.0.0.2.0.0.0.2.2.2;-100 / 100;1
0.0.0.2.0.0.0.2.3;0.0.0.2.0.0.0.2.3.0;-100 / 100;1
0.0.0.2.0.0.0.2.3;0.0.0.2.0.0.0.2.3.1;-100 / 100;1
0.0.0.2.0.0.0.2.3;0.0.0.2.0.0.0.2.3.2;-100 / 100;1
0.0.0.2.0.0.0.2.4;0.0.0.2.0.0.0.2.4.0;-100 / 100;1
0.0.0.2.0.0.0.2.4;0.0.0.2.0.0.0.2.4.1;-100 / 100;1
0.0.0.2.0.0.0.2.5;0.0.0.2.0.0.0.2.5.0;-100 / 100;1
0.0.0.2.0.0.0.2.5;0.0.0.2.0.0.0.2.5.1;-100 / 100;1
0.0.0.2.0.0.0.2.6;0.0.0.2.0.0.0.2.6.0;-100 / 100;1
0.0.0.2.0.0.0.2.6;0.0.0.2.0.0.0.2.6.1;-100 / 100;1
0.0.0.2.0.0.0.2.7;0.0.0.2.0.0.0.2.7.0;-100 / 100;1
0.0.0.2.0.0.0.2.7;0.0.0.2.0.0.0.2.7.1;-100 / 100;1
0.0.0.2.0.0.0.2.8;0.0.0.2.0.0.0.2.8.0;-200 / 200;1
0.0.0.2.0.0.0.2.9;0.0.0.2.0.0.0.2.9.0;-200 / 200;1
0.0.0.2.0.0.0.2.10;0.0.0.2.0.0.0.2.10.0;-200 / 200;1
0.0.0.2.0.0.0.2.11;0.0.0.2.0.0.0.2.11.0;-200 / 200;1
0.0.0.2.0.0.0.2.12;0.0.0.2.0.0.0.2.12.0;-200 / 200;1
0.0.0.2.0.0.0.2.13;0.0.0.2.0.0.0.2.13.0;-200 / 200;1
0.0.0.2.0.0.0.2.14;0.0.0.2.0.0.0.2.14.0;-200 / 200;1
0.0.0.2.0.0.0.2.15;0.0.0.2.0.0.0.2.15.0;-200 / 200;1
0.0.0.2.0.0.0.3.0;0.0.0.2.0.0.0.3.0.0;-100 / 100;1
0.0.0.2.0.0.0.3.0;0.0.0.2.0.0.0.3.0.1;-100 / 100;1
0.0.0.2.0.0.0.3.0;0.0.0.2.0.0.0.3.0.2;-100 / 100;1
0.0.0.2.0.0.0.3.1;0.0.0.2.0.0.0.3.1.0;-100 / 100;1
0.0.0.2.0.0.0.3.1;0.0.0.2.0.0.0.3.1.1;-100 / 100;1
0.0.0.2.0.0.0.3.1;0.0.0.2.0.0.0.3.1.2;-100 / 100;1
0.0.0.2.0.0.0.3.2;0.0.0.2.0.0.0.3.2.0;-100 / 100;1
0.0.0.2.0.0.0.3.2;0.0.0.2.0.0.0.3.2.1;-100 / 100;1
0.0.0.2.0.0.0.3.2;0.0.0.2.0.0.0.3.2.2;-100 / 100;1
0.0.0.2.0.0.0.3.3;0.0.0.2.0.0.0.3.3.0;-100 / 100;1
0.0.0.2.0.0.0.3.3;0.0.0.2.0.0.0.3.3.1;-100 / 100;1
0.0.0.2.0.0.0.3.3;0.0.0.2.0.0.0.3.3.2;-100 / 100;1
0.0.0.2.0.0.0.3.4;0.0.0.2.0.0.0.3.4.0;-100 / 100;1
0.0.0.2.0.0.0.3.4;0.0.0.2.0.0.0.3.4.1;-100 / 100;1
0.0.0.2.0.0.0.3.4;0.0.0.2.0.0.0.3.4.2;-100 / 100;1
0.0.0.2.0.0.0.3.5;0.0.0.2.0.0.0.3.5.0;-100 / 100;1
0.0.0.2.0.0.0.3.5;0.0.0.2.0.0.0.3.5.1;-100 / 100;1
0.0.0.2.0.0.0.3.5;0.0.0.2.0.0.0.3.5.2;-100 / 100;1
0.0.0.2.0.0.0.3.6;0.0.0.2.0.0.0.3.6.0;-100 / 100;1
0.0.0.2.0.0.0.3.6;0.0.0.2.0.0.0.3.6.1;-100 / 100;1
0.0.0.2.0.0.0.3.6;0.0.0.2.0.0.0.3.6.2;-100 / 100;1
0.0.0.2.0.0.0.3.7;0.0.0.2.0.0.0.3.7.0;-100 / 100;1
0.0.0.2.0.0.0.3.7;0.0.0.2.0.0.0.3.7.1;-100 / 100;1
0.0.0.2.0.0.0.3.7;0.0.0.2.0.0.0.3.7.2;-100 / 100;1
0.0.0.2.0.0.0.3.8;0.0.0.2.0.0.0.3.8.0;-300 / 300;1
0.0.0.2.0.0.0.3.9;0.0.0.2.0.0.0.3.9.0;-300 / 300;1
0.0.0.2.0.0.0.3.10;0.0.0.2.0.0.0.3.10.0;-300 / 300;1
0.0.0.2.0.0.0.3.11;0.0.0.2.0.0.0.3.11.0;-200 / 200;1
0.0.0.2.0.0.0.3.12;0.0.0.2.0.0.0.3.12.0;-200 / 200;1
0.0.0.2.0.0.0.3.13;0.0.0.2.0.0.0.3.13.0;-200 / 200;1
0.0.0.2.0.0.0.3.14;0.0.0.2.0.0.0.3.14.0;-200 / 200;1
0.0.0.2.0.0.0.3.15;0.0.0.2.0.0.0.3.15.0;-200 / 200;1
0.0.0.2.0.0.0.4.0;0.0.0.2.0.0.0.4.0.0;-100 / 100;1
0.0.0.2.0.0.0.4.0;0.0.0.2.0.0.0.4.0.1;-100 / 100;1
0.0.0.2.0.0.0.4.0;0.0.0.2.0.0.0.4.0.2;-100 / 100;1
0.0.0.2.0.0.0.4.1;0.0.0.2.0.0.0.4.1.0;-100 / 100;1
0.0.0.2.0.0.0.4.1;0.0.0.2.0.0.0.4.1.1;-100 / 100;1
0.0.0.2.0.0.0.4.1;0.0.0.2.0.0.0.4.1.2;-100 / 100;1
0.0.0.2.0.0.0.4.2;0.0.0.2.0.0.0.4.2.0;-100 / 100;1
0.0.0.2.0.0.0.4.2;0.0.0.2.0.0.0.4.2.1;-100 / 100;1
0.0.0.2.0.0.0.4.2;0.0.0.2.0.0.0.4.2.2;-100 / 100;1
0.0.0.2.0.0.0.4.3;0.0.0.2.0.0.0.4.3.0;-100 / 100;1
0.0.0.2.0.0.0.4.3;0.0.0.2.0.0.0.4.3.1;-100 / 100;1
0.0.0.2.0.0.0.4.4;0.0.0.2.0.0.0.4.4.0;-100 / 100;1
0.0.0.2.0.0.0.4.4;0.0.0.2.0.0.0.4.4.1;-100 / 100;1
0.0.0.2.0.0.0.4.5;0.0.0.2.0.0.0.4.5.0;-100 / 100;1
0.0.0.2.0.0.0.4.5;0.0.0.2.0.0.0.4.5.1;-100 / 100;1
0.0.0.2.0.0.0.4.6;0.0.0.2.0.0.0.4.6.0;-100 / 100;1
0.0.0.2.0.0.0.4.6;0.0.0.2.0.0.0.4.6.1;-100 / 100;1
0.0.0.2.0.0.0.4.7;0.0.0.2.0.0.0.4.7.0;-100 / 100;1
0.0.0.2.0.0.0.4.7;0.0.0.2.0.0.0.4.7.1;-100 / 100;1
0.0.0.2.0.0.0.4.8;0.0.0.2.0.0.0.4.8.0;-200 / 200;1
