0.4.4.1;0.4.4.1.0;156500 / 156500;0
0.4.4.1.0;0.4.4.1.0.0;-15700 / 15700;1
0.4.4.1.0;0.4.4.1.0.1;-13400 / 13400;1
0.4.4.1.0;0.4.4.1.0.2;-15700 / 15700;1
0.4.4.1.0;0.4.4.1.0.3;-16700 / 16700;1
0.4.4.1.0;0.4.4.1.0.4;-18500 / 18500;1
0.4.4.1.0;0.4.4.1.0.5;-17000 / 17000;1
0.4.4.1.0;0.4.4.1.0.6;-14300 / 14300;1
0.4.4.1.0;0.4.4.1.0.7;-14600 / 14600;1
0.4.4.1.0;0.4.4.1.0.8;-16100 / 16100;1
0.4.4.1.0;0.4.4.1.0.9;-14400 / 14400;1
0.4.4.1.0.0;0.4.4.1.0.0.0;-7900 / 7900;1
0.4.4.1.0.0;0.4.4.1.0.0.1;-7800 / 7800;1
0.4.4.1.0.1;0.4.4.1.0.1.0;-6700 / 6700;1
0.4.4.1.0.1;0.4.4.1.0.1.1;-6700 / 6700;1
0.4.4.1.0.2;0.4.4.1.0.2.0;-15700 / 15700;1
0.4.4.1.0.3;0.4.4.1.0.3.0;-5600 / 5600;1
0.4.4.1.0.3;0.4.4.1.0.3.1;-5600 / 5600;1
0.4.4.1.0.3;0.4.4.1.0.3.2;-5500 / 5500;1
0.4.4.1.0.4;0.4.4.1.0.4.0;-9300 / 9300;1
0.4.4.1.0.4;0.4.4.1.0.4.1;-9200 / 9200;1
0.4.4.1.0.5;0.4.4.1.0.5.0;-17000 / 17000;1
0.4.4.1.0.6;0.4.4.1.0.6.0;-14300 / 14300;1
0.4.4.1.0.7;0.4.4.1.0.7.0;-14600 / 14600;1
0.4.4.1.0.8;0.4.4.1.0.8.0;-16100 / 16100;1
0.4.4.1.0.9;0.4.4.1.0.9.0;-14400 / 14400;1
0.4.4.1.0.0.0;0.4.4.1.0.0.0.0;700 / 700;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.1;500 / 500;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.2;1100 / 1100;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.3;600 / 600;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.4;700 / 700;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.5;1000 / 1000;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.6;900 / 900;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.7;800 / 800;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.8;700 / 700;0
0.4.4.1.0.0.0;0.4.4.1.0.0.0.9;800 / 800;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.0;600 / 600;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.1;500 / 500;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.2;900 / 900;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.3;600 / 600;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.4;500 / 500;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.5;1000 / 1000;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.6;900 / 900;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.7;500 / 500;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.8;1500 / 1500;0
0.4.4.1.0.0.1;0.4.4.1.0.0.1.9;700 / 700;0
0.4.4.1.0.1.0;0.4.4.1.0.1.0.0;1000 / 1000;0
0.4.4.1.0.1.0;0.4.4.1.0.1.0.1;600 / 600;0
0.4.4.1.0.1.0;0.4.4.1.0.1.0.2;200 / 200;0
0.4.4.1.0.1.0;0.4.4.1.0.1.0.3;500 / 500;0
