0.2.1.3;0.2.1.3.0;41775 / 41800;0
0.2.1.3.0;0.2.1.3.0.0;-4800 / 4800;1
0.2.1.3.0;0.2.1.3.0.1;-3893 / 3900;1
0.2.1.3.0;0.2.1.3.0.2;-4385 / 4400;1
0.2.1.3.0;0.2.1.3.0.3;-5200 / 5200;1
0.2.1.3.0;0.2.1.3.0.4;-3799 / 3800;1
0.2.1.3.0;0.2.1.3.0.5;-3198 / 3200;1
0.2.1.3.0;0.2.1.3.0.6;-4500 / 4500;1
0.2.1.3.0;0.2.1.3.0.7;-4100 / 4100;1
0.2.1.3.0;0.2.1.3.0.8;-2700 / 2700;1
0.2.1.3.0;0.2.1.3.0.9;-5100 / 5100;1
0.2.1.3.0.0;0.2.1.3.0.0.0;-1600 / 1600;1
0.2.1.3.0.0;0.2.1.3.0.0.1;-1600 / 1600;1
0.2.1.3.0.0;0.2.1.3.0.0.2;-1600 / 1600;1
0.2.1.3.0.1;0.2.1.3.0.1.0;-1299 / 1300;1
0.2.1.3.0.1;0.2.1.3.0.1.1;-1294 / 1300;1
0.2.1.3.0.1;0.2.1.3.0.1.2;-1300 / 1300;1
0.2.1.3.0.2;0.2.1.3.0.2.0;-1399 / 1400;1
0.2.1.3.0.2;0.2.1.3.0.2.1;-1488 / 1500;1
0.2.1.3.0.2;0.2.1.3.0.2.2;-1498 / 1500;1
0.2.1.3.0.3;0.2.1.3.0.3.0;-5200 / 5200;1
0.2.1.3.0.4;0.2.1.3.0.4.0;-1300 / 1300;1
0.2.1.3.0.4;0.2.1.3.0.4.1;-1200 / 1200;1
0.2.1.3.0.4;0.2.1.3.0.4.2;-1299 / 1300;1
0.2.1.3.0.5;0.2.1.3.0.5.0;-1100 / 1100;1
0.2.1.3.0.5;0.2.1.3.0.5.1;-1098 / 1100;1
0.2.1.3.0.5;0.2.1.3.0.5.2;-1000 / 1000;1
0.2.1.3.0.6;0.2.1.3.0.6.0;-1500 / 1500;1
0.2.1.3.0.6;0.2.1.3.0.6.1;-1500 / 1500;1
0.2.1.3.0.6;0.2.1.3.0.6.2;-1500 / 1500;1
0.2.1.3.0.7;0.2.1.3.0.7.0;-1400 / 1400;1
0.2.1.3.0.7;0.2.1.3.0.7.1;-1400 / 1400;1
0.2.1.3.0.7;0.2.1.3.0.7.2;-1300 / 1300;1
0.2.1.3.0.8;0.2.1.3.0.8.0;-900 / 900;1
0.2.1.3.0.8;0.2.1.3.0.8.1;-900 / 900;1
0.2.1.3.0.8;0.2.1.3.0.8.2;-900 / 900;1
0.2.1.3.0.9;0.2.1.3.0.9.0;-1700 / 1700;1
0.2.1.3.0.9;0.2.1.3.0.9.1;-1700 / 1700;1
0.2.1.3.0.9;0.2.1.3.0.9.2;-1700 / 1700;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.0;100 / 100;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.1;200 / 200;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.2;100 / 100;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.3;200 / 200;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.4;100 / 100;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.5;100 / 100;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.6;400 / 400;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.7;100 / 100;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.8;100 / 100;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.9;100 / 100;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.0;300 / 300;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.1;200 / 200;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.3;100 / 100;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.4;200 / 200;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.5;200 / 200;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.6;100 / 100;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.7;100 / 100;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.8;200 / 200;0
0.2.1.3.0.0.1;0.2.1.3.0.0.1.9;100 / 100;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.0;100 / 100;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.1;200 / 200;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.2;200 / 200;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.4;300 / 300;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.6;200 / 200;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.7;100 / 100;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.8;200 / 200;0
0.2.1.3.0.0.2;0.2.1.3.0.0.2.9;200 / 200;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.0;100 / 100;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.1;200 / 200;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.2;100 / 100;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.3;100 / 100;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.4;100 / 100;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.6;100 / 100;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.7;200 / 200;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.8;200 / 200;0
0.2.1.3.0.1.0;0.2.1.3.0.1.0.9;100 / 100;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.0;99 / 100;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.1;199 / 200;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.2;198 / 200;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.4;100 / 100;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.5;99 / 100;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.6;99 / 100;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.7;200 / 200;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.8;100 / 100;0
0.2.1.3.0.1.1;0.2.1.3.0.1.1.9;100 / 100;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.0;200 / 200;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.2;200 / 200;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.4;100 / 100;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.5;100 / 100;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.6;100 / 100;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.7;300 / 300;0
0.2.1.3.0.1.2;0.2.1.3.0.1.2.8;200 / 200;0
0.2.1.3.0.2.0;0.2.1.3.0.2.0.0;100 / 100;0
0.2.1.3.0.2.0;0.2.1.3.0.2.0.1;300 / 300;0
0.2.1.3.0.2.0;0.2.1.3.0.2.0.3;200 / 200;0
0.2.1.3.0.2.0;0.2.1.3.0.2.0.4;100 / 100;0
