0.1.0.0.0.0;0.1.0.0.0.0.0;164700 / 164700;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.0;-17600 / 17600;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.1;-14000 / 14000;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.2;-16300 / 16300;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.3;-14900 / 14900;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.4;-14400 / 14400;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.5;-15900 / 15900;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.6;-15300 / 15300;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.7;-12200 / 12200;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.8;-14400 / 14400;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.9;-15300 / 15300;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.10;-14300 / 14300;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.0;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.1;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.2;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.3;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.4;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.5;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.6;-2200 / 2200;1
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.7;-2200 / 2200;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.0;-1800 / 1800;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.1;-1800 / 1800;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.2;-1800 / 1800;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.3;-1800 / 1800;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.4;-1700 / 1700;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.5;-1700 / 1700;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.6;-1700 / 1700;1
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.7;-1700 / 1700;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.0;-2100 / 2100;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.1;-2100 / 2100;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.2;-2100 / 2100;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.3;-2000 / 2000;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.4;-2000 / 2000;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.5;-2000 / 2000;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.6;-2000 / 2000;1
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.7;-2000 / 2000;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.0;-1900 / 1900;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.1;-1900 / 1900;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.2;-1900 / 1900;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.3;-1900 / 1900;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.4;-1900 / 1900;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.5;-1800 / 1800;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.6;-1800 / 1800;1
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.7;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.0;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.1;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.2;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.3;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.4;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.5;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.6;-1800 / 1800;1
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.7;-1800 / 1800;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.0;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.1;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.2;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.3;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.4;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.5;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.6;-2000 / 2000;1
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.7;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.0;-2000 / 2000;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.1;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.2;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.3;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.4;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.5;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.6;-1900 / 1900;1
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.7;-1900 / 1900;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.0;-1600 / 1600;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.1;-1600 / 1600;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.2;-1500 / 1500;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.3;-1500 / 1500;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.4;-1500 / 1500;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.5;-1500 / 1500;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.6;-1500 / 1500;1
0.1.0.0.0.0.0.7;0.1.0.0.0.0.0.7.7;-1500 / 1500;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.0;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.1;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.2;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.3;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.4;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.5;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.6;-1800 / 1800;1
0.1.0.0.0.0.0.8;0.1.0.0.0.0.0.8.7;-1800 / 1800;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.0;-2000 / 2000;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.1;-1900 / 1900;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.2;-1900 / 1900;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.3;-1900 / 1900;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.4;-1900 / 1900;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.5;-1900 / 1900;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.6;-1900 / 1900;1
0.1.0.0.0.0.0.9;0.1.0.0.0.0.0.9.7;-1900 / 1900;1
0.1.0.0.0.0.0.10;0.1.0.0.0.0.0.10.0;-1800 / 1800;1
