0.1.0;0.1.0.0;48176 / 48200;0
0.1.0.0;0.1.0.0.0;48076 / 48100;0
0.1.0.0.0;0.1.0.0.0.0;-6700 / 6700;1
0.1.0.0.0;0.1.0.0.0.1;-6100 / 6100;1
0.1.0.0.0;0.1.0.0.0.2;-6900 / 6900;1
0.1.0.0.0;0.1.0.0.0.3;-8291 / 8300;1
0.1.0.0.0;0.1.0.0.0.4;-7488 / 7500;1
0.1.0.0.0;0.1.0.0.0.5;-6697 / 6700;1
0.1.0.0.0;0.1.0.0.0.6;-5800 / 5800;1
0.1.0.0.0.0;0.1.0.0.0.0.0;-6700 / 6700;1
0.1.0.0.0.1;0.1.0.0.0.1.0;-6100 / 6100;1
0.1.0.0.0.2;0.1.0.0.0.2.0;-6900 / 6900;1
0.1.0.0.0.3;0.1.0.0.0.3.0;-8291 / 8300;1
0.1.0.0.0.4;0.1.0.0.0.4.0;-7488 / 7500;1
0.1.0.0.0.5;0.1.0.0.0.5.0;-6697 / 6700;1
0.1.0.0.0.6;0.1.0.0.0.6.0;-5800 / 5800;1
0.1.0.0.0.0.0;0.1.0.0.0.0.0.0;800 / 800;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.1;1000 / 1000;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.2;900 / 900;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.3;900 / 900;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.4;1400 / 1400;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.5;1100 / 1100;0
0.1.0.0.0.0.0;0.1.0.0.0.0.0.6;500 / 500;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.0;1100 / 1100;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.1;1100 / 1100;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.2;200 / 200;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.3;700 / 700;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.4;700 / 700;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.5;1300 / 1300;0
0.1.0.0.0.1.0;0.1.0.0.0.1.0.6;900 / 900;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.0;1000 / 1000;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.1;1000 / 1000;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.2;700 / 700;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.3;1100 / 1100;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.4;1000 / 1000;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.5;1000 / 1000;0
0.1.0.0.0.2.0;0.1.0.0.0.2.0.6;1000 / 1000;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.0;700 / 700;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.1;1300 / 1300;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.2;999 / 1000;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.3;1100 / 1100;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.4;1195 / 1200;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.5;1697 / 1700;0
0.1.0.0.0.3.0;0.1.0.0.0.3.0.6;1200 / 1200;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.0;500 / 500;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.1;1298 / 1300;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.2;798 / 800;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.3;1700 / 1700;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.4;1194 / 1200;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.5;1098 / 1100;0
0.1.0.0.0.4.0;0.1.0.0.0.4.0.6;800 / 800;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.0;1000 / 1000;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.1;600 / 600;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.2;900 / 900;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.3;700 / 700;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.4;1397 / 1400;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.5;1000 / 1000;0
0.1.0.0.0.5.0;0.1.0.0.0.5.0.6;1000 / 1000;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.0;700 / 700;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.1;1300 / 1300;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.2;600 / 600;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.3;600 / 600;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.4;1000 / 1000;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.5;1100 / 1100;0
0.1.0.0.0.6.0;0.1.0.0.0.6.0.6;400 / 400;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.0;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.1;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.2;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.3;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.4;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.5;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.6;100 / 100;0
0.1.0.0.0.0.0.0;0.1.0.0.0.0.0.0.7;100 / 100;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.0;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.1;200 / 200;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.2;100 / 100;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.3;100 / 100;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.4;100 / 100;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.5;100 / 100;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.6;100 / 100;0
0.1.0.0.0.0.0.1;0.1.0.0.0.0.0.1.7;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.0;200 / 200;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.1;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.2;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.3;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.4;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.5;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.6;100 / 100;0
0.1.0.0.0.0.0.2;0.1.0.0.0.0.0.2.7;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.0;200 / 200;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.1;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.2;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.3;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.4;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.5;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.6;100 / 100;0
0.1.0.0.0.0.0.3;0.1.0.0.0.0.0.3.7;100 / 100;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.0;200 / 200;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.1;200 / 200;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.2;200 / 200;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.3;200 / 200;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.4;200 / 200;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.5;200 / 200;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.6;100 / 100;0
0.1.0.0.0.0.0.4;0.1.0.0.0.0.0.4.7;100 / 100;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.0;200 / 200;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.1;200 / 200;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.2;200 / 200;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.3;100 / 100;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.4;100 / 100;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.5;100 / 100;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.6;100 / 100;0
0.1.0.0.0.0.0.5;0.1.0.0.0.0.0.5.7;100 / 100;0
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.0;100 / 100;0
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.1;100 / 100;0
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.2;100 / 100;0
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.3;100 / 100;0
0.1.0.0.0.0.0.6;0.1.0.0.0.0.0.6.4;100 / 100;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.0;200 / 200;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.1;200 / 200;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.2;200 / 200;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.3;100 / 100;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.4;100 / 100;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.5;100 / 100;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.6;100 / 100;0
0.1.0.0.0.1.0.0;0.1.0.0.0.1.0.0.7;100 / 100;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.0;200 / 200;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.1;200 / 200;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.2;200 / 200;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.3;100 / 100;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.4;100 / 100;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.5;100 / 100;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.6;100 / 100;0
0.1.0.0.0.1.0.1;0.1.0.0.0.1.0.1.7;100 / 100;0
0.1.0.0.0.1.0.2;0.1.0.0.0.1.0.2.0;100 / 100;0
0.1.0.0.0.1.0.2;0.1.0.0.0.1.0.2.1;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.0;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.1;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.2;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.3;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.4;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.5;100 / 100;0
0.1.0.0.0.1.0.3;0.1.0.0.0.1.0.3.6;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.0;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.1;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.2;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.3;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.4;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.5;100 / 100;0
0.1.0.0.0.1.0.4;0.1.0.0.0.1.0.4.6;100 / 100;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.0;200 / 200;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.1;200 / 200;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.2;200 / 200;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.3;200 / 200;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.4;200 / 200;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.5;100 / 100;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.6;100 / 100;0
0.1.0.0.0.1.0.5;0.1.0.0.0.1.0.5.7;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.0;200 / 200;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.1;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.2;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.3;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.4;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.5;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.6;100 / 100;0
0.1.0.0.0.1.0.6;0.1.0.0.0.1.0.6.7;100 / 100;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.0;200 / 200;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.1;200 / 200;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.2;100 / 100;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.3;100 / 100;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.4;100 / 100;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.5;100 / 100;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.6;100 / 100;0
0.1.0.0.0.2.0.0;0.1.0.0.0.2.0.0.7;100 / 100;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.0;200 / 200;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.1;200 / 200;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.2;100 / 100;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.3;100 / 100;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.4;100 / 100;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.5;100 / 100;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.6;100 / 100;0
0.1.0.0.0.2.0.1;0.1.0.0.0.2.0.1.7;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.0;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.1;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.2;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.3;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.4;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.5;100 / 100;0
0.1.0.0.0.2.0.2;0.1.0.0.0.2.0.2.6;100 / 100;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.0;200 / 200;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.1;200 / 200;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.2;200 / 200;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.3;100 / 100;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.4;100 / 100;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.5;100 / 100;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.6;100 / 100;0
0.1.0.0.0.2.0.3;0.1.0.0.0.2.0.3.7;100 / 100;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.0;200 / 200;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.1;200 / 200;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.2;100 / 100;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.3;100 / 100;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.4;100 / 100;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.5;100 / 100;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.6;100 / 100;0
0.1.0.0.0.2.0.4;0.1.0.0.0.2.0.4.7;100 / 100;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.0;200 / 200;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.1;200 / 200;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.2;100 / 100;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.3;100 / 100;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.4;100 / 100;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.5;100 / 100;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.6;100 / 100;0
0.1.0.0.0.2.0.5;0.1.0.0.0.2.0.5.7;100 / 100;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.0;200 / 200;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.1;200 / 200;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.2;100 / 100;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.3;100 / 100;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.4;100 / 100;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.5;100 / 100;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.6;100 / 100;0
0.1.0.0.0.2.0.6;0.1.0.0.0.2.0.6.7;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.0;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.1;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.2;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.3;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.4;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.5;100 / 100;0
0.1.0.0.0.3.0.0;0.1.0.0.0.3.0.0.6;100 / 100;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.0;200 / 200;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.1;200 / 200;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.2;200 / 200;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.3;200 / 200;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.4;200 / 200;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.5;100 / 100;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.6;100 / 100;0
0.1.0.0.0.3.0.1;0.1.0.0.0.3.0.1.7;100 / 100;0
0.1.0.0.0.3.0.2;0.1.0.0.0.3.0.2.0;200 / 200;0
0.1.0.0.0.3.0.2;0.1.0.0.0.3.0.2.1;200 / 200;0
0.1.0.0.0.3.0.2;0.1.0.0.0.3.0.2.2;100 / 100;0
0.1.0.0.0.3.0.2;0.1.0.0.0.3.0.2.3;100 / 100;0
0.1.0.0.0.3.0.2;0.1.0.0.0.3.0.2.4;100 / 100;0
