0.4.5.1;0.4.5.1.0;156130 / 156200;0
0.4.5.1.0;0.4.5.1.0.0;-16595 / 16600;1
0.4.5.1.0;0.4.5.1.0.1;-15095 / 15100;1
0.4.5.1.0;0.4.5.1.0.2;-16482 / 16500;1
0.4.5.1.0;0.4.5.1.0.3;-14600 / 14600;1
0.4.5.1.0;0.4.5.1.0.4;-15280 / 15300;1
0.4.5.1.0;0.4.5.1.0.5;-15983 / 16000;1
0.4.5.1.0;0.4.5.1.0.6;-16299 / 16300;1
0.4.5.1.0;0.4.5.1.0.7;-15498 / 15500;1
0.4.5.1.0;0.4.5.1.0.8;-14699 / 14700;1
0.4.5.1.0;0.4.5.1.0.9;-15499 / 15500;1
0.4.5.1.0.0;0.4.5.1.0.0.0;-2100 / 2100;1
0.4.5.1.0.0;0.4.5.1.0.0.1;-2100 / 2100;1
0.4.5.1.0.0;0.4.5.1.0.0.2;-2098 / 2100;1
0.4.5.1.0.0;0.4.5.1.0.0.3;-2099 / 2100;1
0.4.5.1.0.0;0.4.5.1.0.0.4;-2100 / 2100;1
0.4.5.1.0.0;0.4.5.1.0.0.5;-2000 / 2000;1
0.4.5.1.0.0;0.4.5.1.0.0.6;-2000 / 2000;1
0.4.5.1.0.0;0.4.5.1.0.0.7;-2098 / 2100;1
0.4.5.1.0.1;0.4.5.1.0.1.0;-1900 / 1900;1
0.4.5.1.0.1;0.4.5.1.0.1.1;-1900 / 1900;1
0.4.5.1.0.1;0.4.5.1.0.1.2;-1900 / 1900;1
0.4.5.1.0.1;0.4.5.1.0.1.3;-1899 / 1900;1
0.4.5.1.0.1;0.4.5.1.0.1.4;-1900 / 1900;1
0.4.5.1.0.1;0.4.5.1.0.1.5;-1800 / 1800;1
0.4.5.1.0.1;0.4.5.1.0.1.6;-1898 / 1900;1
0.4.5.1.0.1;0.4.5.1.0.1.7;-1898 / 1900;1
0.4.5.1.0.2;0.4.5.1.0.2.0;-2000 / 2000;1
0.4.5.1.0.2;0.4.5.1.0.2.1;-2098 / 2100;1
0.4.5.1.0.2;0.4.5.1.0.2.2;-2097 / 2100;1
0.4.5.1.0.2;0.4.5.1.0.2.3;-1999 / 2000;1
0.4.5.1.0.2;0.4.5.1.0.2.4;-2093 / 2100;1
0.4.5.1.0.2;0.4.5.1.0.2.5;-2000 / 2000;1
0.4.5.1.0.2;0.4.5.1.0.2.6;-2098 / 2100;1
0.4.5.1.0.2;0.4.5.1.0.2.7;-2097 / 2100;1
0.4.5.1.0.3;0.4.5.1.0.3.0;-1900 / 1900;1
0.4.5.1.0.3;0.4.5.1.0.3.1;-1900 / 1900;1
0.4.5.1.0.3;0.4.5.1.0.3.2;-1800 / 1800;1
0.4.5.1.0.3;0.4.5.1.0.3.3;-1800 / 1800;1
0.4.5.1.0.3;0.4.5.1.0.3.4;-1800 / 1800;1
0.4.5.1.0.3;0.4.5.1.0.3.5;-1800 / 1800;1
0.4.5.1.0.3;0.4.5.1.0.3.6;-1800 / 1800;1
0.4.5.1.0.3;0.4.5.1.0.3.7;-1800 / 1800;1
0.4.5.1.0.4;0.4.5.1.0.4.0;-1898 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.1;-1897 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.2;-1900 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.3;-1896 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.4;-1897 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.5;-1899 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.6;-1899 / 1900;1
0.4.5.1.0.4;0.4.5.1.0.4.7;-1994 / 2000;1
0.4.5.1.0.5;0.4.5.1.0.5.0;-2000 / 2000;1
0.4.5.1.0.5;0.4.5.1.0.5.1;-1996 / 2000;1
0.4.5.1.0.5;0.4.5.1.0.5.2;-2000 / 2000;1
0.4.5.1.0.5;0.4.5.1.0.5.3;-1999 / 2000;1
